,Source,Target,Type,Weight,book,group
135,Calanthe,Sir,Undirected,1,1,2
136,Sir,Rumplestelt,Undirected,1,1,2
137,Rumplestelt,Calanthe,Undirected,2,1,2
138,Baron,Calanthe,Undirected,1,1,2
139,Geralt,Roegner,Undirected,1,1,1
140,Geralt,Crach,Undirected,2,1,1
141,Crach,Rainfarn,Undirected,4,1,2
142,Rainfarn,Calanthe,Undirected,4,1,2
143,Rainfarn,Crach,Undirected,1,1,2
144,Calanthe,Crach,Undirected,2,1,2
145,Rainfarn,Pavetta,Undirected,2,1,2
146,Rainfarn,Eist,Undirected,1,1,2
147,Windhalm,Calanthe,Undirected,1,1,2
148,Windhalm,Pavetta,Undirected,1,1,2
149,Windhalm,Eist,Undirected,1,1,2
150,Pavetta,Rainfarn,Undirected,2,1,2
151,Eist,Mousesack,Undirected,2,1,2
152,Crach,Drogodar,Undirected,1,1,2
153,Drogodar,Geralt,Undirected,1,1,1
154,Crach,Mousesack,Undirected,1,1,2
155,Mousesack,Geralt,Undirected,1,1,1
156,Mousesack,Pavetta,Undirected,2,1,2
157,Pavetta,Draig,Undirected,1,1,2
158,Calanthe,Rainfarn,Undirected,1,1,2
159,Rainfarn,Mousesack,Undirected,1,1,2
160,Akerspaark,Roegner,Undirected,1,1,2
161,Rainfarn,Geralt,Undirected,1,1,1
162,Nettly,Geralt,Undirected,2,1,1
163,Geralt,Nettly,Undirected,3,1,1
164,Geralt,Dhun,Undirected,7,1,1
165,Dhun,Geralt,Undirected,3,1,1
166,Dhun,Nettly,Undirected,4,1,2
167,Nettly,Dhun,Undirected,3,1,2
168,Lille,Dhun,Undirected,2,1,2
169,Dhun,Lille,Undirected,3,1,2
170,Lille,Geralt,Undirected,6,1,1
171,Geralt,Lille,Undirected,6,1,1
172,Nettly,Lille,Undirected,2,1,2
173,Geralt,Little,Undirected,1,1,1
174,Torque,Galarr,Undirected,3,1,2
175,Galarr,Geralt,Undirected,3,1,1
176,Geralt,Galarr,Undirected,3,1,1
177,Galarr,Torque,Undirected,1,1,2
178,Geralt,Torque,Undirected,6,1,1
179,Aen,Geralt,Undirected,2,1,1
180,Aen,Vanadain,Undirected,1,1,2
181,Geralt,Vanadain,Undirected,2,1,1
182,Geralt,Toruviel,Undirected,7,1,1
183,Vanadain,Toruviel,Undirected,1,1,2
184,Vanadain,Geralt,Undirected,2,1,1
185,Toruviel,Geralt,Undirected,5,1,1
186,Toruviel,Torque,Undirected,1,1,2
187,Toruviel,Vanadain,Undirected,1,1,2
188,Toruviel,Galarr,Undirected,1,1,2
189,Torque,Vanadain,Undirected,1,1,2
190,Vanadain,Galarr,Undirected,1,1,2
191,Torque,Toruviel,Undirected,2,1,2
192,Torque,Geralt,Undirected,3,1,1
193,Filavandrel,Geralt,Undirected,3,1,1
194,Geralt,Filavandrel,Undirected,5,1,1
195,Filavandrel,Toruviel,Undirected,5,1,2
196,Toruviel,Filavandrel,Undirected,4,1,2
197,Filavandrel,Torque,Undirected,2,1,2
198,Filavandrel,Aen,Undirected,1,1,2
199,Toruviel,Aen,Undirected,1,1,2
200,Filavandrel,Lille,Undirected,2,1,2
201,Lille,Field,Undirected,1,1,2
202,Field,Filavandrel,Undirected,1,1,2
203,Toruviel,Lille,Undirected,1,1,2
204,Torque,Field,Undirected,1,1,2
205,Torque,Lille,Undirected,1,1,2
206,Nenneke,Yennefer,Undirected,1,1,1
207,Geralt,Yennefer,Undirected,22,1,1
208,King,Geralt,Undirected,1,1,1
209,Chireadan,Errdil,Undirected,2,1,2
210,Chireadan,Vratimir,Undirected,2,1,2
211,Chireadan,Geralt,Undirected,15,1,1
212,Errdil,Vratimir,Undirected,3,1,2
213,Errdil,Geralt,Undirected,3,1,1
214,Vratimir,Geralt,Undirected,3,1,1
215,Geralt,Vratimir,Undirected,2,1,1
216,Geralt,Chireadan,Undirected,9,1,1
217,Vratimir,Chireadan,Undirected,1,1,2
218,Geralt,King,Undirected,1,1,1
219,Errdil,Chireadan,Undirected,5,1,2
220,Geralt,Beau,Undirected,4,1,1
221,Beau,Chireadan,Undirected,3,1,2
222,Yennefer,Geralt,Undirected,23,1,1
223,Geralt,Triss,Undirected,1,1,1
224,Triss,Beau,Undirected,1,1,2
225,Two,Yennefer,Undirected,1,1,1
226,Yennefer,Errdil,Undirected,3,1,1
227,Errdil,Yennefer,Undirected,1,1,1
228,Vratimir,Yennefer,Undirected,2,1,1
229,Chireadan,Yennefer,Undirected,7,1,1
230,Yennefer,Beau,Undirected,1,1,1
231,Yennefer,Chireadan,Undirected,3,1,1
232,Beau,Yennefer,Undirected,1,1,1
233,Geralt,Sir,Undirected,1,1,1
234,Geralt,Laurelnose,Undirected,3,1,1
235,Chireadan,Laurelnose,Undirected,1,1,2
236,Laurelnose,Yennefer,Undirected,1,1,1
237,Laurelnose,Chireadan,Undirected,1,1,2
238,Laurelnose,Geralt,Undirected,2,1,1
239,Yennefer,Laurelnose,Undirected,1,1,1
240,Laurelnose,Neville,Undirected,1,1,2
241,Neville,Yennefer,Undirected,1,1,1
242,Geralt,Neville,Undirected,2,1,1
243,Neville,Geralt,Undirected,1,1,1
244,Neville,Laurelnose,Undirected,1,1,2
245,Yennefer,Neville,Undirected,1,1,1
246,Geralt,Eskel,Undirected,1,1,1
247,Geralt,Vesemir,Undirected,1,1,1
248,Eskel,Vesemir,Undirected,1,1,1
249,Eskel,Errdil,Undirected,1,1,1
250,Vesemir,Errdil,Undirected,1,1,1
251,Neville,Chireadan,Undirected,1,1,2
252,Neville,Errdil,Undirected,1,1,2
253,Chireadan,Neville,Undirected,1,1,2
254,Geralt,Dennis,Undirected,3,1,1
255,Dennis,Geralt,Undirected,3,1,1
256,Falwick,Dennis,Undirected,1,1,2
257,Falwick,Count,Undirected,2,1,2
258,Dennis,Count,Undirected,2,1,2
259,Dennis,Falwick,Undirected,1,1,2
260,Geralt,Count,Undirected,1,1,1
261,Nenneke,Count,Undirected,1,1,2
262,Count,Dennis,Undirected,1,1,2
263,Count,Geralt,Undirected,1,1,1
264,Iola,Nenneke,Undirected,1,1,2
265,Yennefer,Geralt,Undirected,25,2,1
266,Istredd,Geralt,Undirected,24,2,1
267,Istredd,Yennefer,Undirected,10,2,1
268,Geralt,Yennefer,Undirected,7,2,1
269,Yennefer,Istredd,Undirected,4,2,1
270,Geralt,Herbolth,Undirected,15,2,1
271,Herbolth,Geralt,Undirected,12,2,1
272,Geralt,Seven,Undirected,1,2,1
273,Herbolth,Seven,Undirected,1,2,2
274,Seven,Sir,Undirected,1,2,2
275,Sir,Herbolth,Undirected,1,2,2
276,Istredd,Herbolth,Undirected,5,2,2
277,Herbolth,Istredd,Undirected,2,2,2
278,Geralt,Istredd,Undirected,24,2,1
279,Istredd,Beau,Undirected,1,2,2
280,Yennefer,Beau,Undirected,1,2,1
281,Beau,Istredd,Undirected,1,2,2
282,Vespula,Dandelion,Undirected,3,2,1
283,Vespula,Geralt,Undirected,4,2,1
284,Dandelion,Geralt,Undirected,74,2,1
285,Geralt,Dandelion,Undirected,88,2,1
286,Dandelion,Gar,Undirected,2,2,1
287,Geralt,Gar,Undirected,1,2,1
288,Gar,Dandelion,Undirected,2,2,1
289,Geralt,Dudu,Undirected,10,2,1
290,Dandelion,Dudu,Undirected,3,2,1
291,Dudu,Geralt,Undirected,4,2,1
292,Vimme,Dandelion,Undirected,4,2,1
293,Dandelion,Vimme,Undirected,3,2,1
294,Geralt,Vimme,Undirected,1,2,1
295,Vimme,Geralt,Undirected,2,2,1
296,Dandelion,Vespula,Undirected,4,2,1
297,Dudu,Dandelion,Undirected,1,2,1
298,Dandelion,Little,Undirected,6,2,1
299,Dandelion,Sword,Undirected,4,2,1
300,Little,Sword,Undirected,1,2,2
301,Little,Geralt,Undirected,9,2,1
302,Sword,Geralt,Undirected,2,2,1
303,Geralt,Agloval,Undirected,12,2,1
304,Agloval,Geralt,Undirected,11,2,1
305,Dandelion,Teleri,Undirected,2,2,1
306,Geralt,Teleri,Undirected,1,2,1
307,Geralt,Essi,Undirected,29,2,1
308,Teleri,Geralt,Undirected,1,2,1
309,Teleri,Dandelion,Undirected,1,2,1
310,Teleri,Essi,Undirected,1,2,2
311,Dandelion,Essi,Undirected,11,2,1
312,Essi,Geralt,Undirected,23,2,1
313,Essi,Dandelion,Undirected,7,2,1
314,Little,Dandelion,Undirected,7,2,1
315,Geralt,Little,Undirected,3,2,1
316,Little,Agloval,Undirected,4,2,2
317,Little,Essi,Undirected,4,2,2
318,Agloval,Essi,Undirected,12,2,2
319,Agloval,Dandelion,Undirected,3,2,1
320,Dandelion,Duke,Undirected,1,2,1
321,Geralt,Duke,Undirected,3,2,1
322,Duke,Dandelion,Undirected,1,2,1
323,Duke,Geralt,Undirected,3,2,1
324,Geralt,Zelest,Undirected,5,2,1
325,Dandelion,Zelest,Undirected,2,2,1
326,Dandelion,Agloval,Undirected,3,2,1
327,Zelest,Agloval,Undirected,4,2,2
328,Agloval,Zelest,Undirected,2,2,2
329,Zelest,Geralt,Undirected,7,2,1
330,Zelest,Duke,Undirected,2,2,2
331,Duke,Agloval,Undirected,2,2,2
332,Agloval,Duke,Undirected,1,2,2
333,Dandelion,Veverka,Undirected,2,2,1
334,Veverka,Dandelion,Undirected,1,2,1
335,Essi,Little,Undirected,5,2,2
336,Yennefer,Dandelion,Undirected,2,2,1
337,Dandelion,Yennefer,Undirected,1,2,1
338,Essi,Agloval,Undirected,9,2,2
339,Agloval,Little,Undirected,3,2,2
340,Essi,Yennefer,Undirected,1,2,1
341,Duke,Zelest,Undirected,1,2,2
342,Dandelion,Braenn,Undirected,2,2,1
343,Sword,Braenn,Undirected,1,2,2
344,Braenn,Geralt,Undirected,18,2,1
345,Geralt,Freixenet,Undirected,15,2,1
346,Freixenet,Geralt,Undirected,12,2,1
347,Geralt,Eithn¨¦,Undirected,13,2,1
348,Eithn¨¦,Geralt,Undirected,18,2,1
349,Geralt,Braenn,Undirected,17,2,1
350,Braenn,Ciri,Undirected,10,2,1
351,Geralt,Ciri,Undirected,35,2,1
352,Ciri,Braenn,Undirected,13,2,1
353,Ciri,Sir,Undirected,2,2,1
354,Braenn,Sir,Undirected,2,2,2
355,Sir,Freixenet,Undirected,2,2,2
356,Braenn,Eithn¨¦,Undirected,7,2,2
357,Eithn¨¦,Braenn,Undirected,7,2,2
358,Ciri,Geralt,Undirected,18,2,1
359,Eithn¨¦,Ciri,Undirected,10,2,1
360,Ciri,Eithn¨¦,Undirected,9,2,1
361,Geralt,Aen,Undirected,1,2,1
362,Aen,Braenn,Undirected,2,2,2
363,Aen,Geralt,Undirected,1,2,1
364,Ciri,Freixenet,Undirected,6,2,1
365,Braenn,Freixenet,Undirected,1,2,2
366,Freixenet,Ciri,Undirected,7,2,1
367,Eithn¨¦,Venzlav,Undirected,2,2,2
368,Geralt,Venzlav,Undirected,6,2,1
369,Venzlav,Eithn¨¦,Undirected,1,2,2
370,Venzlav,Freixenet,Undirected,4,2,2
371,Eithn¨¦,Freixenet,Undirected,1,2,2
372,Freixenet,Eithn¨¦,Undirected,1,2,2
373,Venzlav,Geralt,Undirected,2,2,1
374,Freixenet,Braenn,Undirected,1,2,2
375,Yennefer,Eithn¨¦,Undirected,1,2,1
376,Eithn¨¦,Calanthe,Undirected,1,2,2
377,Geralt,Calanthe,Undirected,21,2,1
378,Calanthe,Eithn¨¦,Undirected,2,2,2
379,Ciri,Pavetta,Undirected,2,2,1
380,Pavetta,Ciri,Undirected,2,2,1
381,Two,Ciri,Undirected,1,2,1
382,Ciri,Guy,Undirected,1,2,1
383,Braenn,Mousesack,Undirected,1,2,2
384,Calanthe,Ciri,Undirected,1,2,1
385,Calanthe,Mousesack,Undirected,4,2,2
386,Ciri,Mousesack,Undirected,2,2,1
387,Mousesack,Ciri,Undirected,3,2,1
388,Geralt,Mousesack,Undirected,12,2,1
389,Mousesack,Geralt,Undirected,8,2,1
390,Yurga,King,Undirected,3,2,2
391,King,Yurga,Undirected,2,2,2
392,Yurga,Sir,Undirected,1,2,2
393,Sir,Yurga,Undirected,2,2,2
394,Yurga,Yennefer,Undirected,1,2,1
395,Yennefer,Yurga,Undirected,1,2,1
396,Geralt,King,Undirected,1,2,1
397,King,Geralt,Undirected,3,2,1
398,Geralt,Yurga,Undirected,27,2,1
399,Yurga,Mousesack,Undirected,1,2,2
400,Mousesack,Calanthe,Undirected,5,2,2
401,Calanthe,Geralt,Undirected,22,2,1
402,Calanthe,Pavetta,Undirected,6,2,2
403,Geralt,Pavetta,Undirected,4,2,1
404,Pavetta,Calanthe,Undirected,8,2,2
405,Pavetta,Geralt,Undirected,8,2,1
406,Yurga,Visenna,Undirected,2,2,2
407,Visenna,Geralt,Undirected,17,2,1
408,Geralt,Visenna,Undirected,10,2,1
409,Visenna,Yurga,Undirected,2,2,2
410,Yurga,Geralt,Undirected,21,2,1
411,Geralt,Triss,Undirected,1,2,1
412,Yurga,Triss,Undirected,1,2,2
413,Triss,Geralt,Undirected,2,2,1
414,Geralt,Roach,Undirected,2,2,1
415,Yurga,Roach,Undirected,1,2,2
416,Roach,Yurga,Undirected,2,2,2
417,Roach,Dandelion,Undirected,3,2,1
418,Roach,Geralt,Undirected,2,2,1
419,Dandelion,Calanthe,Undirected,4,2,1
420,Calanthe,Dandelion,Undirected,1,2,1
421,Ciri,Dandelion,Undirected,1,2,1
422,Yurga,Ciri,Undirected,5,2,1
423,Ciri,Yurga,Undirected,2,2,1
424,Ciri,Geralt,Undirected,58,3,1
425,Geralt,Ciri,Undirected,48,3,1
426,Baron,Dandelion,Undirected,3,3,1
427,Dandelion,Geralt,Undirected,13,3,1
428,Dandelion,Yennefer,Undirected,11,3,1
429,Geralt,Yennefer,Undirected,19,3,1
430,Geralt,Dandelion,Undirected,16,3,1
431,Yennefer,Dandelion,Undirected,8,3,1
432,Yennefer,Geralt,Undirected,20,3,1
433,Dandelion,Baron,Undirected,2,3,1
434,Geralt,Baron,Undirected,1,3,1
435,Dandelion,Sheldon,Undirected,2,3,1
436,Dandelion,Donimir,Undirected,1,3,1
437,Sheldon,Donimir,Undirected,2,3,2
438,Donimir,Sheldon,Undirected,1,3,2
439,Donimir,Two,Undirected,1,3,2
440,Two,Dandelion,Undirected,3,3,1
441,Calanthe,Dandelion,Undirected,1,3,1
442,Dandelion,Calanthe,Undirected,2,3,1
443,Sheldon,Baron,Undirected,1,3,2
444,Sheldon,Dandelion,Undirected,2,3,1
445,Baron,Sheldon,Undirected,1,3,2
