Unnamed: 0,Source,Target,Type,Weight,book,group
1601,Zuleyka,Philippa,Undirected,2,6,1
1602,Zuleyka,Vesemir,Undirected,1,6,1
1603,Philippa,Vesemir,Undirected,1,6,1
1604,Philippa,Sigrdrifa,Undirected,1,6,1
1605,Vesemir,Sigrdrifa,Undirected,1,6,1
1606,Vesemir,Zyvik,Undirected,1,6,1
1607,Sigrdrifa,Zyvik,Undirected,1,6,2
1608,Jarre,Triss,Undirected,2,6,2
1609,Nenneke,Triss,Undirected,3,6,2
1610,Nenneke,Jarre,Undirected,2,6,2
1611,Triss,Jarre,Undirected,1,6,2
1612,Stefan,Ciri,Undirected,1,6,1
1613,Vysogota,Ciri,Undirected,20,6,1
1614,Ciri,Vysogota,Undirected,14,6,1
1615,Vysogota,Kelpie,Undirected,2,6,2
1616,Kelpie,Ciri,Undirected,10,6,1
1617,Ciri,Kelpie,Undirected,8,6,1
1618,Aen,Ciri,Undirected,1,6,1
1619,Asse,Falka,Undirected,2,6,2
1620,Falka,Asse,Undirected,1,6,2
1621,Kayleigh,Falka,Undirected,2,6,2
1622,Emhyr,Mistle,Undirected,3,6,2
1623,Mistle,Falka,Undirected,1,6,2
1624,Falka,Kayleigh,Undirected,1,6,2
1625,Falka,Ciri,Undirected,6,6,1
1626,Falka,Baron,Undirected,4,6,2
1627,Ciri,Baron,Undirected,5,6,1
1628,Baron,Ciri,Undirected,2,6,1
1629,Ciri,Falka,Undirected,7,6,1
1630,Baron,Asse,Undirected,1,6,2
1631,Mistle,Ciri,Undirected,11,6,1
1632,Mistle,Asse,Undirected,1,6,2
1633,Ciri,Asse,Undirected,1,6,1
1634,Kayleigh,Mistle,Undirected,3,6,2
1635,Kayleigh,Asse,Undirected,2,6,2
1636,Ciri,Mistle,Undirected,12,6,1
1637,Kayleigh,Emhyr,Undirected,1,6,2
1638,Emhyr,Ciri,Undirected,4,6,1
1639,Ciri,Calanthe,Undirected,2,6,1
1640,Calanthe,Ciri,Undirected,8,6,1
1641,Calanthe,Falka,Undirected,1,6,2
1642,Ciri,Emhyr,Undirected,6,6,1
1643,Falka,Emhyr,Undirected,1,6,2
1644,Asse,Kayleigh,Undirected,1,6,2
1645,Baron,Vysogota,Undirected,1,6,2
1646,Falka,Mistle,Undirected,2,6,2
1647,Yennefer,Ciri,Undirected,16,6,1
1648,Mistle,Vysogota,Undirected,1,6,2
1649,Mistle,Kayleigh,Undirected,2,6,2
1650,Milva,Geralt,Undirected,11,6,1
1651,Geralt,Meve,Undirected,5,6,1
1652,Meve,Geralt,Undirected,3,6,1
1653,Geralt,Milva,Undirected,17,6,1
1654,Milva,Meve,Undirected,1,6,2
1655,Ciri,Meve,Undirected,1,6,1
1656,Meve,Milva,Undirected,3,6,2
1657,Milva,Cahir,Undirected,5,6,2
1658,Cahir,Geralt,Undirected,25,6,1
1659,Milva,Roach,Undirected,2,6,2
1660,Roach,Milva,Undirected,1,6,2
1661,Geralt,King,Undirected,1,6,1
1662,Geralt,Ciri,Undirected,7,6,1
1663,Ciri,Geralt,Undirected,10,6,1
1664,Geralt,Forest,Undirected,2,6,1
1665,Geralt,Yennefer,Undirected,4,6,1
1666,Yennefer,Triss,Undirected,2,6,1
1667,Yennefer,Crach,Undirected,11,6,1
1668,Dandelion,Ciri,Undirected,2,6,1
1669,Milva,Dandelion,Undirected,11,6,1
1670,Cahir,Dandelion,Undirected,5,6,1
1671,Geralt,Dandelion,Undirected,11,6,1
1672,Dandelion,Cahir,Undirected,3,6,1
