Unnamed: 0,Source,Target,Type,Weight,book,group
724,Aplegatt,King,Undirected,1,4,2
725,King,Aplegatt,Undirected,2,4,2
726,Aplegatt,Meve,Undirected,1,4,2
727,Aplegatt,Demavend,Undirected,2,4,2
728,Aplegatt,Emhyr,Undirected,1,4,2
729,Meve,Demavend,Undirected,1,4,2
730,Meve,Emhyr,Undirected,1,4,2
731,Demavend,Emhyr,Undirected,1,4,2
732,Emhyr,Vissegerd,Undirected,1,4,2
733,Vissegerd,Forest,Undirected,1,4,2
734,Aplegatt,Ciri,Undirected,2,4,1
735,Ciri,Aplegatt,Undirected,2,4,1
736,Aplegatt,Yennefer,Undirected,1,4,1
737,Ciri,Yennefer,Undirected,31,4,1
738,Yennefer,Aplegatt,Undirected,1,4,1
739,Aplegatt,Foltest,Undirected,1,4,1
740,Foltest,Demavend,Undirected,2,4,1
741,Codringher,Geralt,Undirected,9,4,1
742,Geralt,Codringher,Undirected,12,4,1
743,Codringher,Dandelion,Undirected,3,4,1
744,Rience,Calanthe,Undirected,1,4,2
745,Rience,Codringher,Undirected,8,4,2
746,Codringher,Rience,Undirected,10,4,2
747,Rience,Geralt,Undirected,4,4,1
748,Geralt,Rience,Undirected,6,4,1
749,Rience,Yennefer,Undirected,2,4,1
750,Yennefer,Codringher,Undirected,2,4,1
751,Yennefer,Rience,Undirected,2,4,1
752,Codringher,Emhyr,Undirected,1,4,2
753,Codringher,Philippa,Undirected,1,4,1
754,Emhyr,Philippa,Undirected,2,4,1
755,Emhyr,Sabrina,Undirected,1,4,2
756,Emhyr,Henselt,Undirected,2,4,2
757,Philippa,Sabrina,Undirected,4,4,1
758,Philippa,Henselt,Undirected,1,4,1
759,Sabrina,Henselt,Undirected,3,4,2
760,Sabrina,Rience,Undirected,1,4,2
761,Henselt,Rience,Undirected,1,4,2
762,Codringher,Foltest,Undirected,1,4,1
763,Codringher,Ciri,Undirected,2,4,1
764,Foltest,Ciri,Undirected,1,4,1
765,Foltest,Codringher,Undirected,1,4,1
766,Ciri,Codringher,Undirected,1,4,1
767,Ciri,Geralt,Undirected,7,4,1
768,Rience,King,Undirected,1,4,2
769,Codringher,King,Undirected,1,4,2
770,Codringher,Calanthe,Undirected,3,4,2
771,King,Calanthe,Undirected,1,4,2
772,Geralt,King,Undirected,1,4,1
773,King,Rience,Undirected,1,4,2
774,Calanthe,Roegner,Undirected,5,4,2
775,Roegner,Pavetta,Undirected,4,4,2
776,Pavetta,Geralt,Undirected,1,4,1
777,Geralt,Roegner,Undirected,2,4,1
778,Codringher,Roegner,Undirected,1,4,2
779,Roegner,Calanthe,Undirected,1,4,2
780,Roegner,Ciri,Undirected,1,4,1
781,Ciri,Calanthe,Undirected,1,4,1
782,Geralt,Calanthe,Undirected,1,4,1
783,Geralt,Pavetta,Undirected,2,4,1
784,Calanthe,Pavetta,Undirected,5,4,2
785,Pavetta,Calanthe,Undirected,3,4,2
786,Pavetta,Eist,Undirected,1,4,2
787,Eist,Calanthe,Undirected,1,4,2
788,Calanthe,Codringher,Undirected,1,4,2
789,Pavetta,Codringher,Undirected,1,4,2
790,Emhyr,King,Undirected,1,4,2
791,Akerspaark,Emhyr,Undirected,1,4,2
792,Akerspaark,Horm,Undirected,1,4,2
793,Horm,Codringher,Undirected,1,4,2
794,Horm,Akerspaark,Undirected,1,4,2
795,Codringher,Akerspaark,Undirected,1,4,2
796,Akerspaark,Geralt,Undirected,1,4,1
797,Geralt,Akerspaark,Undirected,1,4,1
798,Geralt,Ciri,Undirected,9,4,1
799,Akerspaark,Pavetta,Undirected,1,4,2
800,Akerspaark,Ciri,Undirected,1,4,1
801,Pavetta,Ciri,Undirected,1,4,1
802,Ithlinne,Aen,Undirected,1,4,2
803,Ithlinne,Codringher,Undirected,1,4,2
804,Ithlinne,Geralt,Undirected,1,4,1
805,Aen,Codringher,Undirected,1,4,2
806,Aen,Geralt,Undirected,1,4,1
807,Yennefer,Gar,Undirected,2,4,1
808,Geralt,Yennefer,Undirected,23,4,1
809,Little,Aplegatt,Undirected,1,4,2
810,Demavend,Aplegatt,Undirected,2,4,2
811,Aplegatt,Gar,Undirected,1,4,2
812,Gar,Toruviel,Undirected,1,4,2
813,Gar,Yaevinn,Undirected,1,4,2
814,Toruviel,Yaevinn,Undirected,1,4,2
815,Yaevinn,Toruviel,Undirected,2,4,2
816,Toruviel,Aplegatt,Undirected,1,4,2
817,Dandelion,Two,Undirected,1,4,1
818,Yennefer,Ciri,Undirected,26,4,1
819,Ciri,Yarpen,Undirected,3,4,1
820,Yarpen,Yennefer,Undirected,2,4,1
821,Yennefer,Jarre,Undirected,1,4,1
822,Ciri,Jarre,Undirected,3,4,1
823,Jarre,Molnar,Undirected,1,4,2
824,Molnar,Ciri,Undirected,5,4,1
825,Ciri,Molnar,Undirected,4,4,1
826,Molnar,Yennefer,Undirected,2,4,1
827,Yennefer,Molnar,Undirected,5,4,1
828,Yennefer,Emhyr,Undirected,1,4,1
829,Foltest,Molnar,Undirected,1,4,1
