Unnamed: 0,Source,Target,Type,Weight,book,group
400,Mousesack,Calanthe,Undirected,5,2,2
401,Calanthe,Geralt,Undirected,22,2,1
402,Calanthe,Pavetta,Undirected,6,2,2
403,Geralt,Pavetta,Undirected,4,2,1
404,Pavetta,Calanthe,Undirected,8,2,2
405,Pavetta,Geralt,Undirected,8,2,1
406,Yurga,Visenna,Undirected,2,2,2
407,Visenna,Geralt,Undirected,17,2,1
408,Geralt,Visenna,Undirected,10,2,1
409,Visenna,Yurga,Undirected,2,2,2
410,Yurga,Geralt,Undirected,21,2,1
411,Geralt,Triss,Undirected,1,2,1
412,Yurga,Triss,Undirected,1,2,2
413,Triss,Geralt,Undirected,2,2,1
414,Geralt,Roach,Undirected,2,2,1
415,Yurga,Roach,Undirected,1,2,2
416,Roach,Yurga,Undirected,2,2,2
417,Roach,Dandelion,Undirected,3,2,1
418,Roach,Geralt,Undirected,2,2,1
419,Dandelion,Calanthe,Undirected,4,2,1
420,Calanthe,Dandelion,Undirected,1,2,1
421,Ciri,Dandelion,Undirected,1,2,1
422,Yurga,Ciri,Undirected,5,2,1
423,Ciri,Yurga,Undirected,2,2,1
