Unnamed: 0,Source,Target,Type,Weight,book,group
1151,Milva,Forest,Undirected,1,5,2
1152,Forest,Milva,Undirected,1,5,2
1153,Maria,Milva,Undirected,6,5,2
1154,Codringher,Milva,Undirected,2,5,2
1155,Milva,Geralt,Undirected,51,5,1
1156,Milva,Maria,Undirected,4,5,2
1157,Geralt,Maria,Undirected,1,5,1
1158,Milva,Ori,Undirected,7,5,2
1159,Ori,Philippa,Undirected,4,5,1
1160,Philippa,Ori,Undirected,2,5,1
1161,Ori,Triss,Undirected,1,5,2
1162,Philippa,Triss,Undirected,3,5,1
1163,Yennefer,Artaud,Undirected,1,5,1
1164,Artaud,Yennefer,Undirected,1,5,1
1165,Artaud,Ori,Undirected,2,5,2
1166,Yennefer,Ori,Undirected,2,5,1
1167,Yennefer,Milva,Undirected,2,5,1
1168,Ori,Milva,Undirected,8,5,2
1169,Ori,Maria,Undirected,1,5,2
1170,Emhyr,Milva,Undirected,2,5,2
1171,Shilard,Francesca,Undirected,1,5,2
1172,Ori,Stefan,Undirected,1,5,2
1173,Philippa,Stefan,Undirected,1,5,1
1174,Philippa,Emhyr,Undirected,3,5,1
1175,Stefan,Emhyr,Undirected,1,5,2
1176,Milva,Little,Undirected,1,5,2
1177,Little,Aen,Undirected,1,5,2
1178,Little,Milva,Undirected,1,5,2
1179,Aen,Milva,Undirected,2,5,2
1180,Milva,Toruviel,Undirected,3,5,2
1181,Toruviel,Milva,Undirected,3,5,2
1182,Margarita,Philippa,Undirected,3,5,1
1183,Philippa,Keira,Undirected,2,5,1
1184,Keira,Triss,Undirected,3,5,2
1185,Keira,Philippa,Undirected,3,5,1
1186,Triss,Philippa,Undirected,5,5,1
1187,Philippa,Assire,Undirected,5,5,1
1188,Assire,Philippa,Undirected,8,5,1
1189,Philippa,Sabrina,Undirected,8,5,1
1190,Sabrina,Sheala,Undirected,1,5,2
1191,Sabrina,Francesca,Undirected,4,5,2
1192,Sheala,Francesca,Undirected,4,5,2
1193,Francesca,Philippa,Undirected,7,5,1
1194,Philippa,Margarita,Undirected,2,5,1
1195,Philippa,Francesca,Undirected,3,5,1
1196,Margarita,Francesca,Undirected,1,5,2
1197,Margarita,Assire,Undirected,2,5,2
1198,Francesca,Assire,Undirected,4,5,2
1199,Sabrina,Philippa,Undirected,5,5,1
1200,Sabrina,Emhyr,Undirected,2,5,2
1201,Francesca,Sabrina,Undirected,2,5,2
1202,Philippa,Sheala,Undirected,1,5,1
1203,Sheala,Philippa,Undirected,5,5,1
1204,Assire,Sabrina,Undirected,2,5,2
1205,Margarita,Sheala,Undirected,2,5,2
1206,Francesca,King,Undirected,1,5,2
1207,King,Francesca,Undirected,1,5,2
1208,King,Assire,Undirected,1,5,2
1209,King,Triss,Undirected,1,5,2
1210,Francesca,Triss,Undirected,2,5,2
1211,Francesca,Keira,Undirected,2,5,2
1212,Assire,Triss,Undirected,2,5,2
1213,Assire,Keira,Undirected,1,5,2
1214,Triss,Keira,Undirected,1,5,2
1215,Triss,Sabrina,Undirected,1,5,2
1216,Keira,Sabrina,Undirected,1,5,2
1217,Sabrina,Assire,Undirected,4,5,2
1218,Francesca,Emhyr,Undirected,1,5,2
1219,Assire,Emhyr,Undirected,2,5,2
1220,Sabrina,Margarita,Undirected,1,5,2
1221,Emhyr,Margarita,Undirected,1,5,2
1222,Emhyr,Sheala,Undirected,1,5,2
1223,Sheala,Assire,Undirected,1,5,2
1224,Assire,Francesca,Undirected,6,5,2
1225,Francesca,Sheala,Undirected,1,5,2
1226,Two,Mistle,Undirected,1,5,2
1227,Two,Falka,Undirected,1,5,2
1228,Mistle,Falka,Undirected,3,5,2
1229,Asse,Kayleigh,Undirected,1,5,2
1230,Asse,Little,Undirected,1,5,2
1231,Kayleigh,Little,Undirected,1,5,2
1232,Falka,Little,Undirected,1,5,2
1233,Dandelion,Geralt,Undirected,72,5,1
1234,Geralt,Dandelion,Undirected,70,5,1
1235,Dandelion,Roach,Undirected,3,5,1
1236,Roach,Dandelion,Undirected,3,5,1
1237,Dandelion,Riordain,Undirected,1,5,1
1238,Aen,Dandelion,Undirected,2,5,1
1239,Aen,Geralt,Undirected,1,5,1
1240,Geralt,Milva,Undirected,45,5,1
1241,Dandelion,Milva,Undirected,60,5,1
1242,Milva,Dandelion,Undirected,61,5,1
1243,Milva,Ciri,Undirected,15,5,1
1244,Geralt,Ciri,Undirected,5,5,1
1245,Dandelion,Ciri,Undirected,7,5,1
1246,Ciri,Milva,Undirected,13,5,1
1247,Milva,Emhyr,Undirected,1,5,2
1248,Emhyr,Ciri,Undirected,3,5,1
1249,Ciri,Geralt,Undirected,9,5,1
1250,Ciri,Emhyr,Undirected,1,5,1
1251,Geralt,Emhyr,Undirected,2,5,1
1252,Geralt,Roach,Undirected,2,5,1
1253,Milva,Roach,Undirected,4,5,2
1254,Dandelion,Zoltan,Undirected,29,5,1
1255,Milva,Zoltan,Undirected,34,5,2
1256,Milva,Field,Undirected,3,5,2
1257,Zoltan,Field,Undirected,8,5,2
1258,Field,Percival,Undirected,3,5,2
1259,Field,Zoltan,Undirected,5,5,2
1260,Percival,Zoltan,Undirected,18,5,2
1261,Geralt,Zoltan,Undirected,44,5,1
1262,Zoltan,Milva,Undirected,27,5,2
1263,Zoltan,Munro,Undirected,3,5,2
1264,Zoltan,Figgis,Undirected,1,5,2
1265,Munro,Figgis,Undirected,1,5,2
1266,Munro,Zoltan,Undirected,3,5,2
1267,Figgis,Zoltan,Undirected,1,5,2
1268,Figgis,Geralt,Undirected,2,5,1
1269,Figgis,Dandelion,Undirected,1,5,1
1270,Zoltan,Geralt,Undirected,33,5,1
1271,Zoltan,Dandelion,Undirected,27,5,1
1272,Dandelion,Figgis,Undirected,2,5,1
1273,Figgis,Milva,Undirected,3,5,2
1274,Milva,Percival,Undirected,10,5,2
1275,Percival,Geralt,Undirected,14,5,1
1276,Munro,Geralt,Undirected,2,5,1
1277,Geralt,Field,Undirected,6,5,1
1278,Field,Milva,Undirected,3,5,2
1279,Zoltan,Percival,Undirected,25,5,2
1280,Ciri,Dandelion,Undirected,7,5,1
1281,Maria,Zoltan,Undirected,1,5,2
1282,Geralt,Percival,Undirected,8,5,1
1283,Munro,Percival,Undirected,1,5,2
1284,Percival,Milva,Undirected,4,5,2
1285,Cahir,Zoltan,Undirected,2,5,2
1286,Zoltan,Ciri,Undirected,4,5,1
1287,Geralt,Cahir,Undirected,11,5,1
1288,Philippa,Zoltan,Undirected,1,5,1
1289,Zoltan,King,Undirected,1,5,2
1290,King,Percival,Undirected,1,5,2
1291,Dandelion,Field,Undirected,3,5,1
1292,Field,Two,Undirected,1,5,2
1293,Two,Zoltan,Undirected,3,5,2
1294,Dandelion,Percival,Undirected,14,5,1
1295,Percival,Figgis,Undirected,1,5,2
1296,Field,Geralt,Undirected,4,5,1
1297,Emiel,Zoltan,Undirected,3,5,2
1298,Emiel,Geralt,Undirected,3,5,1
1299,Zoltan,Emiel,Undirected,2,5,2
1300,Geralt,Sir,Undirected,2,5,1
1301,Sir,Zoltan,Undirected,2,5,2
1302,Zoltan,Sir,Undirected,1,5,2
1303,Percival,Dandelion,Undirected,4,5,1
1304,Yennefer,Dandelion,Undirected,3,5,1
1305,Yennefer,Geralt,Undirected,7,5,1
1306,Zoltan,Two,Undirected,2,5,2
1307,Geralt,Two,Undirected,2,5,1
1308,Two,Percival,Undirected,1,5,2
1309,Zoltan,Brouver,Undirected,1,5,2
1310,Percival,King,Undirected,1,5,2
1311,King,Brouver,Undirected,1,5,2
1312,Dandelion,Count,Undirected,5,5,1
1313,Ciri,Count,Undirected,2,5,1
1314,Falka,Ciri,Undirected,5,5,1
1315,Ciri,Falka,Undirected,1,5,1
1316,Falka,Kayleigh,Undirected,1,5,2
1317,Ciri,Kayleigh,Undirected,3,5,1
1318,Kayleigh,Ciri,Undirected,1,5,1
1319,Emiel,Percival,Undirected,1,5,2
1320,Geralt,Emiel,Undirected,2,5,1
1321,Munro,Dandelion,Undirected,1,5,1
1322,Munro,Milva,Undirected,2,5,2
1323,Two,Dandelion,Undirected,1,5,1
1324,Dandelion,Munro,Undirected,1,5,1
1325,Percival,Sir,Undirected,2,5,2
1326,Geralt,Count,Undirected,4,5,1
1327,Count,Dandelion,Undirected,4,5,1
1328,Field,Sir,Undirected,1,5,2
1329,Sir,Percival,Undirected,1,5,2
1330,Geralt,Kayleigh,Undirected,1,5,1
1331,Mistle,Ciri,Undirected,5,5,1
1332,Dandelion,Aubry,Undirected,1,5,1
1333,Dandelion,Sir,Undirected,4,5,1
1334,Aubry,Sir,Undirected,2,5,2
1335,Aubry,Geralt,Undirected,1,5,1
1336,Aubry,Dandelion,Undirected,1,5,1
1337,Sir,Geralt,Undirected,3,5,1
1338,Sir,Dandelion,Undirected,3,5,1
1339,Dandelion,Emhyr,Undirected,2,5,1
1340,Daniel,Dandelion,Undirected,1,5,1
1341,Count,Foltest,Undirected,1,5,1
1342,Count,Geralt,Undirected,2,5,1
1343,Foltest,Geralt,Undirected,1,5,1
1344,Foltest,Count,Undirected,1,5,1
1345,Calanthe,Pavetta,Undirected,1,5,2
1346,Calanthe,Geralt,Undirected,1,5,1
1347,Pavetta,Geralt,Undirected,1,5,1
1348,Count,Daniel,Undirected,1,5,2
1349,Dandelion,Daniel,Undirected,1,5,1
1350,Dandelion,Calanthe,Undirected,1,5,1
1351,Daniel,Calanthe,Undirected,1,5,2
1352,Daniel,Emhyr,Undirected,1,5,2
1353,Calanthe,Emhyr,Undirected,1,5,2
1354,Emhyr,Calanthe,Undirected,2,5,2
1355,Vissegerd,Foltest,Undirected,2,5,1
1356,Vissegerd,Daniel,Undirected,1,5,2
1357,Foltest,Daniel,Undirected,1,5,1
1358,Foltest,Vissegerd,Undirected,1,5,1
1359,Daniel,Vissegerd,Undirected,1,5,2
1360,Vissegerd,Geralt,Undirected,8,5,1
1361,Geralt,Vissegerd,Undirected,7,5,1
1362,Dandelion,Vissegerd,Undirected,9,5,1
1363,Vissegerd,Count,Undirected,4,5,2
1364,Count,Vissegerd,Undirected,3,5,2
1365,Count,Sir,Undirected,3,5,2
1366,Vissegerd,Sir,Undirected,2,5,2
1367,Sir,Vissegerd,Undirected,1,5,2
1368,Vreemde,Morteisen,Undirected,1,5,2
1369,Cahir,Dandelion,Undirected,12,5,1
1370,Sir,Demavend,Undirected,1,5,2
1371,Demavend,Vilgefortz,Undirected,1,5,2
1372,Demavend,Rience,Undirected,1,5,2
1373,Vilgefortz,Rience,Undirected,1,5,2
1374,Vattier,Francesca,Undirected,1,5,2
1375,Francesca,Cahir,Undirected,1,5,2
1376,Cahir,Rience,Undirected,2,5,2
1377,Stefan,Vattier,Undirected,1,5,2
1378,Stefan,Milva,Undirected,1,5,2
1379,Vattier,Milva,Undirected,1,5,2
1380,Ciri,Beau,Undirected,2,5,1
1381,Ciri,Cahir,Undirected,5,5,1
1382,Beau,Cahir,Undirected,1,5,2
1383,Cahir,Milva,Undirected,18,5,2
1384,Cahir,Ciri,Undirected,3,5,1
1385,Milva,Fringilla,Undirected,1,5,2
1386,Milva,Assire,Undirected,1,5,2
1387,Ciri,Fringilla,Undirected,5,5,1
1388,Ciri,Assire,Undirected,2,5,1
1389,Fringilla,Assire,Undirected,5,5,2
1390,Fringilla,Merlin,Undirected,1,5,2
1391,Assire,Merlin,Undirected,1,5,2
1392,Merlin,Assire,Undirected,2,5,2
1393,Merlin,Fringilla,Undirected,1,5,2
1394,Assire,Fringilla,Undirected,9,5,2
1395,Assire,King,Undirected,1,5,2
1396,Assire,Albrich,Undirected,1,5,2
1397,King,Albrich,Undirected,1,5,2
1398,Albrich,Assire,Undirected,1,5,2
1399,Assire,Xarthisius,Undirected,2,5,2
1400,Stella,Assire,Undirected,1,5,2
1401,Stella,Emhyr,Undirected,1,5,2
1402,Emhyr,Fringilla,Undirected,1,5,2
1403,Emhyr,Xarthisius,Undirected,1,5,2
1404,Fringilla,Xarthisius,Undirected,1,5,2
1405,Fringilla,Emhyr,Undirected,1,5,2
1406,Xarthisius,Emhyr,Undirected,1,5,2
1407,Emhyr,Cahir,Undirected,4,5,2
1408,Cahir,Emhyr,Undirected,3,5,2
