Unnamed: 0,Source,Target,Type,Weight,book,group
1938,Arthur,Merlin,Undirected,3,7,2
1939,Merlin,Arthur,Undirected,1,7,2
1940,Merlin,Sir,Undirected,2,7,2
1941,Arthur,Sir,Undirected,1,7,2
1942,Nimue,Dandelion,Undirected,3,7,1
1943,Dandelion,Nimue,Undirected,1,7,1
1944,Dandelion,Two,Undirected,1,7,1
1945,Nimue,Two,Undirected,1,7,2
1946,Geralt,Nimue,Undirected,1,7,1
1947,Yennefer,Nimue,Undirected,2,7,1
1948,Beau,Ciri,Undirected,5,7,1
1949,Ciri,Nimue,Undirected,4,7,1
1950,Nimue,Ciri,Undirected,9,7,1
1951,Ciri,Lydia,Undirected,1,7,1
1952,Lydia,Nimue,Undirected,1,7,2
1953,Stella,Count,Undirected,2,7,2
1954,Stella,Emhyr,Undirected,6,7,2
1955,Count,Emhyr,Undirected,6,7,2
1956,Count,Stella,Undirected,4,7,2
1957,Emhyr,Vattier,Undirected,2,7,2
1958,Emhyr,Stella,Undirected,3,7,2
1959,Emhyr,Count,Undirected,1,7,2
1960,Emhyr,Beau,Undirected,1,7,2
1961,Nimue,Emhyr,Undirected,2,7,2
1962,Emhyr,Nimue,Undirected,1,7,2
1963,Nimue,King,Undirected,2,7,2
1964,Emhyr,King,Undirected,1,7,2
1965,King,Ciri,Undirected,3,7,1
1966,Ciri,Emhyr,Undirected,7,7,1
1967,Dandelion,Jan,Undirected,1,7,1
1968,Jan,Nimue,Undirected,1,7,2
1969,Cahir,Count,Undirected,1,7,2
1970,Cahir,Dandelion,Undirected,4,7,1
1971,Count,Dandelion,Undirected,1,7,1
1972,Dandelion,Geralt,Undirected,15,7,1
1973,Nimue,Geralt,Undirected,1,7,1
1974,Geralt,Dandelion,Undirected,28,7,1
1975,Geralt,Count,Undirected,1,7,1
1976,Dandelion,Count,Undirected,3,7,1
1977,Margarita,Francesca,Undirected,4,7,2
1978,Francesca,Ida,Undirected,3,7,2
1979,Ciri,Vilgefortz,Undirected,15,7,1
1980,Yennefer,Jan,Undirected,1,7,1
1981,Jan,Vilgefortz,Undirected,1,7,2
1982,Vilgefortz,Ciri,Undirected,11,7,1
1983,Vilgefortz,Yennefer,Undirected,19,7,1
1984,Ciri,Yennefer,Undirected,40,7,1
1985,Yennefer,Ciri,Undirected,44,7,1
1986,Yennefer,Vilgefortz,Undirected,20,7,1
1987,Yennefer,Geralt,Undirected,25,7,1
1988,Geralt,Ciri,Undirected,34,7,1
1989,Geralt,Yennefer,Undirected,15,7,1
1990,Vilgefortz,Emhyr,Undirected,7,7,2
1991,Emhyr,Stefan,Undirected,2,7,2
1992,Emhyr,Yennefer,Undirected,3,7,1
1993,Stefan,Yennefer,Undirected,2,7,1
1994,Stefan,Vilgefortz,Undirected,3,7,2
1995,Yennefer,Stefan,Undirected,2,7,1
1996,Nimue,Everett,Undirected,1,7,2
1997,Reynart,Geralt,Undirected,7,7,1
1998,Reynard,Geralt,Undirected,1,7,1
1999,Beau,Geralt,Undirected,3,7,1
2000,Beau,Roach,Undirected,1,7,2
2001,Geralt,Roach,Undirected,2,7,1
2002,Sir,Geralt,Undirected,3,7,1
2003,Sir,Milva,Undirected,1,7,2
2004,Geralt,Milva,Undirected,14,7,1
2005,Geralt,Cahir,Undirected,11,7,1
2006,Milva,Cahir,Undirected,6,7,2
2007,Cahir,Milva,Undirected,8,7,2
2008,Cahir,Beau,Undirected,1,7,2
2009,Milva,Beau,Undirected,1,7,2
2010,Reynart,Anna,Undirected,2,7,2
2011,Anna,Reynart,Undirected,1,7,2
2012,Anna,Dandelion,Undirected,3,7,1
2013,Anna,Julia,Undirected,2,7,2
2014,Anna,Sir,Undirected,1,7,2
2015,Reynart,Dandelion,Undirected,3,7,1
2016,Reynart,Julia,Undirected,1,7,2
2017,Reynart,Sir,Undirected,1,7,2
2018,Dandelion,Julia,Undirected,5,7,1
2019,Dandelion,Sir,Undirected,1,7,1
2020,Julia,Sir,Undirected,1,7,2
2021,Julia,Geralt,Undirected,3,7,1
2022,Geralt,Sir,Undirected,3,7,1
2023,Cahir,Reynart,Undirected,2,7,2
2024,Reynart,Count,Undirected,1,7,2
2025,Count,Geralt,Undirected,3,7,1
2026,Geralt,Reynart,Undirected,11,7,1
2027,Reynart,Two,Undirected,1,7,2
2028,Geralt,Two,Undirected,2,7,1
2029,Two,Reynart,Undirected,1,7,2
2030,Reynart,Beau,Undirected,3,7,2
2031,Beau,Reynart,Undirected,3,7,2
2032,Beau,Cahir,Undirected,2,7,2
2033,Geralt,Beau,Undirected,8,7,1
2034,Reynart,Cahir,Undirected,2,7,2
2035,Dandelion,Milva,Undirected,2,7,1
2036,Geralt,Julia,Undirected,1,7,1
2037,Beau,Julia,Undirected,2,7,2
2038,Beau,Dandelion,Undirected,3,7,1
2039,Julia,Dandelion,Undirected,5,7,1
2040,Anna,Geralt,Undirected,3,7,1
2041,Geralt,Anna,Undirected,1,7,1
2042,Beau,Anna,Undirected,1,7,2
2043,Dandelion,Fringilla,Undirected,4,7,1
2044,Fringilla,Geralt,Undirected,12,7,1
2045,Geralt,Fringilla,Undirected,22,7,1
2046,Reynart,Milva,Undirected,2,7,2
2047,Fringilla,Milva,Undirected,4,7,2
2048,Anna,Ciri,Undirected,2,7,1
2049,Dandelion,Ciri,Undirected,7,7,1
2050,Ciri,Pavetta,Undirected,2,7,1
2051,Ciri,Dandelion,Undirected,12,7,1
2052,Emhyr,Geralt,Undirected,4,7,1
2053,Milva,Geralt,Undirected,9,7,1
2054,Geralt,Baron,Undirected,3,7,1
2055,Geralt,Palmerin,Undirected,2,7,1
2056,Baron,Palmerin,Undirected,1,7,2
2057,Palmerin,Baron,Undirected,2,7,2
2058,Palmerin,Geralt,Undirected,1,7,1
2059,Milva,Reynart,Undirected,1,7,2
2060,Milva,Ciri,Undirected,1,7,1
2061,Count,Fringilla,Undirected,1,7,2
2062,Baron,Anna,Undirected,1,7,2
2063,Dandelion,Emiel,Undirected,1,7,1
2064,Emiel,Geralt,Undirected,4,7,1
2065,Milva,Fringilla,Undirected,2,7,2
2066,Milva,Baron,Undirected,6,7,2
2067,Fringilla,Baron,Undirected,1,7,2
2068,Baron,Geralt,Undirected,1,7,1
2069,Baron,Milva,Undirected,7,7,2
2070,Milva,Seven,Undirected,1,7,2
2071,Baron,Seven,Undirected,1,7,2
2072,Seven,Baron,Undirected,1,7,2
2073,Seven,Milva,Undirected,1,7,2
2074,Geralt,Gar,Undirected,1,7,1
2075,Fringilla,Fulko,Undirected,3,7,2
2076,Reynart,Roach,Undirected,1,7,2
2077,Sir,Dandelion,Undirected,1,7,1
2078,Sir,Cahir,Undirected,1,7,2
2079,Dandelion,Cahir,Undirected,2,7,1
2080,Dandelion,Roach,Undirected,2,7,1
2081,Ciri,Fringilla,Undirected,3,7,1
2082,Fringilla,Dandelion,Undirected,3,7,1
2083,Jan,Fringilla,Undirected,1,7,2
2084,Jan,Geralt,Undirected,2,7,1
2085,Geralt,King,Undirected,2,7,1
2086,Roach,Two,Undirected,2,7,2
2087,Cahir,Baron,Undirected,1,7,2
2088,Baron,Dandelion,Undirected,2,7,1
2089,Milva,Dandelion,Undirected,1,7,1
2090,Cahir,Geralt,Undirected,10,7,1
2091,Beau,Fringilla,Undirected,1,7,2
