Unnamed: 0,Source,Target,Type,Weight,book,group
187,Toruviel,Vanadain,Undirected,1.0,1,2
191,Torque,Toruviel,Undirected,1.5,1,2
188,Toruviel,Galarr,Undirected,1.0,1,2
189,Torque,Vanadain,Undirected,1.0,1,2
190,Vanadain,Galarr,Undirected,1.0,1,2
194,Geralt,Filavandrel,Undirected,4.0,1,1
196,Toruviel,Filavandrel,Undirected,4.5,1,2
197,Filavandrel,Torque,Undirected,2.0,1,2
198,Filavandrel,Aen,Undirected,1.0,1,2
199,Toruviel,Aen,Undirected,1.0,1,2
200,Filavandrel,Lille,Undirected,2.0,1,2
201,Lille,Field,Undirected,1.0,1,2
202,Field,Filavandrel,Undirected,1.0,1,2
203,Toruviel,Lille,Undirected,1.0,1,2
204,Torque,Field,Undirected,1.0,1,2
205,Torque,Lille,Undirected,1.0,1,2
222,Yennefer,Geralt,Undirected,22.5,1,1
218,Geralt,King,Undirected,1.0,1,1
219,Errdil,Chireadan,Undirected,3.5,1,2
217,Vratimir,Chireadan,Undirected,1.5,1,2
216,Geralt,Chireadan,Undirected,12.0,1,1
212,Errdil,Vratimir,Undirected,3.0,1,2
213,Errdil,Geralt,Undirected,3.0,1,1
215,Geralt,Vratimir,Undirected,2.5,1,1
220,Geralt,Beau,Undirected,4.0,1,1
221,Beau,Chireadan,Undirected,3.0,1,2
223,Geralt,Triss,Undirected,1.0,1,1
224,Triss,Beau,Undirected,1.0,1,2
225,Two,Yennefer,Undirected,1.0,1,1
227,Errdil,Yennefer,Undirected,2.0,1,1
228,Vratimir,Yennefer,Undirected,2.0,1,1
231,Yennefer,Chireadan,Undirected,5.0,1,1
232,Beau,Yennefer,Undirected,1.0,1,1
233,Geralt,Sir,Undirected,1.0,1,1
238,Laurelnose,Geralt,Undirected,2.5,1,1
237,Laurelnose,Chireadan,Undirected,1.0,1,2
239,Yennefer,Laurelnose,Undirected,1.0,1,1
244,Neville,Laurelnose,Undirected,1.0,1,2
245,Yennefer,Neville,Undirected,1.0,1,1
243,Neville,Geralt,Undirected,1.5,1,1
246,Geralt,Eskel,Undirected,1.0,1,1
247,Geralt,Vesemir,Undirected,1.0,1,1
248,Eskel,Vesemir,Undirected,1.0,1,1
249,Eskel,Errdil,Undirected,1.0,1,1
250,Vesemir,Errdil,Undirected,1.0,1,1
253,Chireadan,Neville,Undirected,1.0,1,2
252,Neville,Errdil,Undirected,1.0,1,2
255,Dennis,Geralt,Undirected,3.0,1,1
259,Dennis,Falwick,Undirected,1.0,1,2
257,Falwick,Count,Undirected,2.0,1,2
262,Count,Dennis,Undirected,1.5,1,2
263,Count,Geralt,Undirected,1.0,1,1
261,Nenneke,Count,Undirected,1.0,1,2
