,Unnamed: 0,Source,Target,Type,Weight,book,group
0,265,Yennefer,Geralt,Undirected,16.0,2,1
1,266,Istredd,Geralt,Undirected,24.0,2,1
2,267,Istredd,Yennefer,Undirected,7.0,2,1
5,270,Geralt,Herbolth,Undirected,13.5,2,1
7,272,Geralt,Seven,Undirected,1.0,2,1
8,273,Herbolth,Seven,Undirected,1.0,2,2
9,274,Seven,Sir,Undirected,1.0,2,2
10,275,Sir,Herbolth,Undirected,1.0,2,2
11,276,Istredd,Herbolth,Undirected,3.5,2,2
14,279,Istredd,Beau,Undirected,1.0,2,2
15,280,Yennefer,Beau,Undirected,1.0,2,1
17,282,Vespula,Dandelion,Undirected,3.5,2,1
18,283,Vespula,Geralt,Undirected,4.0,2,1
19,284,Dandelion,Geralt,Undirected,81.0,2,1
21,286,Dandelion,Gar,Undirected,2.0,2,1
22,287,Geralt,Gar,Undirected,1.0,2,1
24,289,Geralt,Dudu,Undirected,7.0,2,1
25,290,Dandelion,Dudu,Undirected,2.0,2,1
27,292,Vimme,Dandelion,Undirected,3.5,2,1
29,294,Geralt,Vimme,Undirected,1.5,2,1
33,298,Dandelion,Little,Undirected,6.5,2,1
34,299,Dandelion,Sword,Undirected,4.0,2,1
35,300,Little,Sword,Undirected,1.0,2,2
36,301,Little,Geralt,Undirected,6.0,2,1
37,302,Sword,Geralt,Undirected,2.0,2,1
38,303,Geralt,Agloval,Undirected,11.5,2,1
40,305,Dandelion,Teleri,Undirected,1.5,2,1
41,306,Geralt,Teleri,Undirected,1.0,2,1
42,307,Geralt,Essi,Undirected,26.0,2,1
45,310,Teleri,Essi,Undirected,1.0,2,2
46,311,Dandelion,Essi,Undirected,9.0,2,1
51,316,Little,Agloval,Undirected,3.5,2,2
52,317,Little,Essi,Undirected,4.5,2,2
53,318,Agloval,Essi,Undirected,10.5,2,2
54,319,Agloval,Dandelion,Undirected,3.0,2,1
55,320,Dandelion,Duke,Undirected,1.0,2,1
56,321,Geralt,Duke,Undirected,3.0,2,1
59,324,Geralt,Zelest,Undirected,6.0,2,1
60,325,Dandelion,Zelest,Undirected,2.0,2,1
62,327,Zelest,Agloval,Undirected,3.0,2,2
65,330,Zelest,Duke,Undirected,1.5,2,2
66,331,Duke,Agloval,Undirected,1.5,2,2
68,333,Dandelion,Veverka,Undirected,1.5,2,1
71,336,Yennefer,Dandelion,Undirected,1.5,2,1
75,340,Essi,Yennefer,Undirected,1.0,2,1
77,342,Dandelion,Braenn,Undirected,2.0,2,1
78,343,Sword,Braenn,Undirected,1.0,2,2
79,344,Braenn,Geralt,Undirected,17.5,2,1
80,345,Geralt,Freixenet,Undirected,13.5,2,1
82,347,Geralt,Eithn¨¦,Undirected,15.5,2,1
85,350,Braenn,Ciri,Undirected,11.5,2,1
86,351,Geralt,Ciri,Undirected,26.5,2,1
88,353,Ciri,Sir,Undirected,2.0,2,1
89,354,Braenn,Sir,Undirected,2.0,2,2
90,355,Sir,Freixenet,Undirected,2.0,2,2
91,356,Braenn,Eithn¨¦,Undirected,7.0,2,2
94,359,Eithn¨¦,Ciri,Undirected,9.5,2,1
96,361,Geralt,Aen,Undirected,1.0,2,1
97,362,Aen,Braenn,Undirected,2.0,2,2
99,364,Ciri,Freixenet,Undirected,6.5,2,1
100,365,Braenn,Freixenet,Undirected,1.0,2,2
102,367,Eithn¨¦,Venzlav,Undirected,1.5,2,2
103,368,Geralt,Venzlav,Undirected,4.0,2,1
105,370,Venzlav,Freixenet,Undirected,4.0,2,2
106,371,Eithn¨¦,Freixenet,Undirected,1.0,2,2
110,375,Yennefer,Eithn¨¦,Undirected,1.0,2,1
111,376,Eithn¨¦,Calanthe,Undirected,1.5,2,2
112,377,Geralt,Calanthe,Undirected,21.5,2,1
114,379,Ciri,Pavetta,Undirected,2.0,2,1
116,381,Two,Ciri,Undirected,1.0,2,1
117,382,Ciri,Guy,Undirected,1.0,2,1
118,383,Braenn,Mousesack,Undirected,1.0,2,2
119,384,Calanthe,Ciri,Undirected,1.0,2,1
120,385,Calanthe,Mousesack,Undirected,4.5,2,2
121,386,Ciri,Mousesack,Undirected,2.5,2,1
123,388,Geralt,Mousesack,Undirected,10.0,2,1
125,390,Yurga,King,Undirected,2.5,2,2
127,392,Yurga,Sir,Undirected,1.5,2,2
129,394,Yurga,Yennefer,Undirected,1.0,2,1
131,396,Geralt,King,Undirected,2.0,2,1
133,398,Geralt,Yurga,Undirected,24.0,2,1
134,399,Yurga,Mousesack,Undirected,1.0,2,2
137,402,Calanthe,Pavetta,Undirected,7.0,2,2
138,403,Geralt,Pavetta,Undirected,6.0,2,1
141,406,Yurga,Visenna,Undirected,2.0,2,2
142,407,Visenna,Geralt,Undirected,13.5,2,1
146,411,Geralt,Triss,Undirected,1.5,2,1
147,412,Yurga,Triss,Undirected,1.0,2,2
149,414,Geralt,Roach,Undirected,2.0,2,1
150,415,Yurga,Roach,Undirected,1.5,2,2
152,417,Roach,Dandelion,Undirected,3.0,2,1
154,419,Dandelion,Calanthe,Undirected,2.5,2,1
156,421,Ciri,Dandelion,Undirected,1.0,2,1
157,422,Yurga,Ciri,Undirected,3.5,2,1
