,Unnamed: 0,Source,Target,Type,Weight,book,group
187,611,Emhyr,Foltest,Undirected,1.0,3,1
189,613,Calanthe,Crach,Undirected,4.0,3,2
190,614,Crach,Foltest,Undirected,1.0,3,1
192,616,Vilgefortz,Emhyr,Undirected,1.0,3,2
193,617,Vilgefortz,Vissegerd,Undirected,1.0,3,2
194,618,Emhyr,Vissegerd,Undirected,1.0,3,2
195,619,Vissegerd,Foltest,Undirected,3.5,3,1
196,620,Vissegerd,Calanthe,Undirected,2.0,3,2
198,622,Foltest,Calanthe,Undirected,2.5,3,1
201,625,Calanthe,Meve,Undirected,1.5,3,2
202,626,Vissegerd,Meve,Undirected,1.5,3,2
203,627,Ekkehard,Venzlav,Undirected,1.0,3,2
204,628,Venzlav,Foltest,Undirected,1.0,3,1
205,629,King,Meve,Undirected,2.0,3,2
206,630,King,Calanthe,Undirected,1.0,3,2
208,632,Meve,Pavetta,Undirected,1.0,3,2
210,634,Calanthe,Pavetta,Undirected,1.0,3,2
211,635,Pavetta,Foltest,Undirected,2.0,3,1
212,636,Foltest,Rience,Undirected,1.0,3,1
213,637,Vissegerd,Rience,Undirected,1.0,3,2
216,640,Calanthe,Emhyr,Undirected,2.0,3,2
217,641,Henselt,Vissegerd,Undirected,1.0,3,2
221,645,Emhyr,Meve,Undirected,1.0,3,2
222,646,Rience,Windhalm,Undirected,1.0,3,2
224,648,Nenneke,Yennefer,Undirected,12.5,3,1
225,649,Two,Rience,Undirected,1.0,3,2
226,650,Shani,Little,Undirected,1.0,3,1
227,651,Shani,Rience,Undirected,1.0,3,1
228,652,Little,Rience,Undirected,2.0,3,2
229,653,Artaud,Tissaia,Undirected,4.0,3,2
230,654,Artaud,Vilgefortz,Undirected,3.5,3,2
231,655,Tissaia,Vilgefortz,Undirected,6.5,3,2
233,657,Tissaia,Lydia,Undirected,6.5,3,2
235,659,Lydia,Artaud,Undirected,4.5,3,2
237,661,Tissaia,Two,Undirected,1.0,3,2
239,663,Artaud,Two,Undirected,1.0,3,2
240,664,Lydia,Two,Undirected,1.5,3,2
244,668,Vilgefortz,Lydia,Undirected,4.0,3,2
247,671,Aen,Tissaia,Undirected,1.0,3,2
248,672,Aen,Vilgefortz,Undirected,1.0,3,2
249,673,Aen,Yennefer,Undirected,1.0,3,1
250,674,Tissaia,Yennefer,Undirected,3.0,3,1
251,675,Vilgefortz,Yennefer,Undirected,1.5,3,1
253,677,Yennefer,Lydia,Undirected,1.0,3,1
254,678,Yennefer,Artaud,Undirected,1.0,3,1
255,679,Tissaia,Geralt,Undirected,1.0,3,1
256,680,Rience,Sword,Undirected,1.0,3,2
257,681,Sword,Geralt,Undirected,1.0,3,1
258,682,Triss,Philippa,Undirected,4.0,3,1
259,683,Philippa,Ciri,Undirected,4.0,3,1
260,684,Ciri,Shani,Undirected,2.0,3,1
261,685,Tissaia,Iola,Undirected,1.0,3,2
263,687,Iola,Yennefer,Undirected,2.0,3,1
265,689,Jarre,Ciri,Undirected,12.0,3,1
267,691,Jarre,Yennefer,Undirected,7.0,3,1
268,692,Jarre,Nenneke,Undirected,1.0,3,2
271,695,Jarre,Forest,Undirected,1.0,3,2
272,696,Jarre,King,Undirected,1.0,3,2
273,697,Jarre,Geralt,Undirected,1.0,3,1
275,699,Ciri,Jan,Undirected,1.0,3,1
276,700,Dandelion,Essi,Undirected,1.0,3,1
277,701,Dandelion,Blue,Undirected,1.0,3,1
278,702,Essi,Blue,Undirected,1.0,3,2
279,703,Essi,Yennefer,Undirected,1.0,3,1
280,704,Blue,Yennefer,Undirected,1.0,3,1
281,705,Blue,Ciri,Undirected,1.0,3,1
283,707,Forest,Ciri,Undirected,1.0,3,1
285,709,Crach,Ciri,Undirected,2.0,3,1
286,710,Calanthe,Eist,Undirected,1.0,3,2
287,711,Ciri,Eist,Undirected,1.0,3,1
289,713,Eist,Crach,Undirected,2.0,3,2
290,714,Pavetta,Ciri,Undirected,2.0,3,1
291,715,Yennefer,Ithlinne,Undirected,1.0,3,1
292,716,Yennefer,Sword,Undirected,1.0,3,1
293,717,Nenneke,Ithlinne,Undirected,1.0,3,2
294,718,Nenneke,Sword,Undirected,1.0,3,2
295,719,Ithlinne,Sword,Undirected,1.0,3,2
297,721,Ithlinne,Ciri,Undirected,1.0,3,1
