,Unnamed: 0,Source,Target,Type,Weight,book,group
0,1601,Zuleyka,Philippa,Undirected,2.0,6,1
1,1602,Zuleyka,Vesemir,Undirected,1.0,6,1
2,1603,Philippa,Vesemir,Undirected,1.0,6,1
3,1604,Philippa,Sigrdrifa,Undirected,1.0,6,1
4,1605,Vesemir,Sigrdrifa,Undirected,1.0,6,1
5,1606,Vesemir,Zyvik,Undirected,1.0,6,1
6,1607,Sigrdrifa,Zyvik,Undirected,1.0,6,2
7,1608,Jarre,Triss,Undirected,1.5,6,2
8,1609,Nenneke,Triss,Undirected,2.0,6,2
9,1610,Nenneke,Jarre,Undirected,1.5,6,2
11,1612,Stefan,Ciri,Undirected,1.0,6,1
12,1613,Vysogota,Ciri,Undirected,17.0,6,1
14,1615,Vysogota,Kelpie,Undirected,1.5,6,2
15,1616,Kelpie,Ciri,Undirected,9.0,6,1
17,1618,Aen,Ciri,Undirected,1.0,6,1
18,1619,Asse,Falka,Undirected,1.5,6,2
20,1621,Kayleigh,Falka,Undirected,1.5,6,2
21,1622,Emhyr,Mistle,Undirected,3.0,6,2
22,1623,Mistle,Falka,Undirected,1.5,6,2
24,1625,Falka,Ciri,Undirected,6.5,6,1
25,1626,Falka,Baron,Undirected,4.0,6,2
26,1627,Ciri,Baron,Undirected,3.5,6,1
29,1630,Baron,Asse,Undirected,1.0,6,2
30,1631,Mistle,Ciri,Undirected,11.5,6,1
31,1632,Mistle,Asse,Undirected,1.0,6,2
32,1633,Ciri,Asse,Undirected,1.0,6,1
33,1634,Kayleigh,Mistle,Undirected,2.5,6,2
34,1635,Kayleigh,Asse,Undirected,1.5,6,2
36,1637,Kayleigh,Emhyr,Undirected,1.0,6,2
37,1638,Emhyr,Ciri,Undirected,5.0,6,1
38,1639,Ciri,Calanthe,Undirected,5.0,6,1
40,1641,Calanthe,Falka,Undirected,1.0,6,2
42,1643,Falka,Emhyr,Undirected,1.0,6,2
44,1645,Baron,Vysogota,Undirected,1.0,6,2
46,1647,Yennefer,Ciri,Undirected,13.0,6,1
47,1648,Mistle,Vysogota,Undirected,1.0,6,2
49,1650,Milva,Geralt,Undirected,14.0,6,1
50,1651,Geralt,Meve,Undirected,4.0,6,1
53,1654,Milva,Meve,Undirected,2.0,6,2
54,1655,Ciri,Meve,Undirected,1.0,6,1
56,1657,Milva,Cahir,Undirected,6.0,6,2
57,1658,Cahir,Geralt,Undirected,24.5,6,1
58,1659,Milva,Roach,Undirected,1.5,6,2
