,Unnamed: 0,Source,Target,Type,Weight,book,group
0,1151,Milva,Forest,Undirected,1.0,5,2
2,1153,Maria,Milva,Undirected,5.0,5,2
3,1154,Codringher,Milva,Undirected,2.0,5,2
4,1155,Milva,Geralt,Undirected,48.0,5,1
6,1157,Geralt,Maria,Undirected,1.0,5,1
7,1158,Milva,Ori,Undirected,7.5,5,2
8,1159,Ori,Philippa,Undirected,3.0,5,1
10,1161,Ori,Triss,Undirected,1.0,5,2
11,1162,Philippa,Triss,Undirected,4.0,5,1
12,1163,Yennefer,Artaud,Undirected,1.0,5,1
14,1165,Artaud,Ori,Undirected,2.0,5,2
15,1166,Yennefer,Ori,Undirected,2.0,5,1
16,1167,Yennefer,Milva,Undirected,1.5,5,1
18,1169,Ori,Maria,Undirected,1.0,5,2
19,1170,Emhyr,Milva,Undirected,1.5,5,2
20,1171,Shilard,Francesca,Undirected,1.0,5,2
21,1172,Ori,Stefan,Undirected,1.0,5,2
22,1173,Philippa,Stefan,Undirected,1.0,5,1
23,1174,Philippa,Emhyr,Undirected,3.0,5,1
24,1175,Stefan,Emhyr,Undirected,1.0,5,2
25,1176,Milva,Little,Undirected,1.0,5,2
26,1177,Little,Aen,Undirected,1.0,5,2
28,1179,Aen,Milva,Undirected,2.0,5,2
29,1180,Milva,Toruviel,Undirected,3.0,5,2
31,1182,Margarita,Philippa,Undirected,2.5,5,1
32,1183,Philippa,Keira,Undirected,2.5,5,1
33,1184,Keira,Triss,Undirected,2.0,5,2
36,1187,Philippa,Assire,Undirected,6.5,5,1
38,1189,Philippa,Sabrina,Undirected,6.5,5,1
39,1190,Sabrina,Sheala,Undirected,1.0,5,2
40,1191,Sabrina,Francesca,Undirected,3.0,5,2
41,1192,Sheala,Francesca,Undirected,2.5,5,2
42,1193,Francesca,Philippa,Undirected,5.0,5,1
45,1196,Margarita,Francesca,Undirected,1.0,5,2
46,1197,Margarita,Assire,Undirected,2.0,5,2
47,1198,Francesca,Assire,Undirected,5.0,5,2
49,1200,Sabrina,Emhyr,Undirected,2.0,5,2
51,1202,Philippa,Sheala,Undirected,3.0,5,1
53,1204,Assire,Sabrina,Undirected,3.0,5,2
54,1205,Margarita,Sheala,Undirected,2.0,5,2
55,1206,Francesca,King,Undirected,1.0,5,2
57,1208,King,Assire,Undirected,1.0,5,2
58,1209,King,Triss,Undirected,1.0,5,2
59,1210,Francesca,Triss,Undirected,2.0,5,2
60,1211,Francesca,Keira,Undirected,1.5,5,2
61,1212,Assire,Triss,Undirected,1.5,5,2
62,1213,Assire,Keira,Undirected,1.0,5,2
64,1215,Triss,Sabrina,Undirected,1.5,5,2
65,1216,Keira,Sabrina,Undirected,1.0,5,2
67,1218,Francesca,Emhyr,Undirected,1.0,5,2
68,1219,Assire,Emhyr,Undirected,2.5,5,2
69,1220,Sabrina,Margarita,Undirected,2.0,5,2
70,1221,Emhyr,Margarita,Undirected,1.0,5,2
71,1222,Emhyr,Sheala,Undirected,1.0,5,2
72,1223,Sheala,Assire,Undirected,1.0,5,2
75,1226,Two,Mistle,Undirected,1.0,5,2
76,1227,Two,Falka,Undirected,1.0,5,2
77,1228,Mistle,Falka,Undirected,3.0,5,2
78,1229,Asse,Kayleigh,Undirected,1.0,5,2
79,1230,Asse,Little,Undirected,1.0,5,2
80,1231,Kayleigh,Little,Undirected,1.0,5,2
81,1232,Falka,Little,Undirected,1.0,5,2
82,1233,Dandelion,Geralt,Undirected,71.0,5,1
84,1235,Dandelion,Roach,Undirected,3.0,5,1
86,1237,Dandelion,Riordain,Undirected,1.0,5,1
87,1238,Aen,Dandelion,Undirected,2.0,5,1
88,1239,Aen,Geralt,Undirected,1.0,5,1
90,1241,Dandelion,Milva,Undirected,60.5,5,1
92,1243,Milva,Ciri,Undirected,14.0,5,1
93,1244,Geralt,Ciri,Undirected,7.0,5,1
94,1245,Dandelion,Ciri,Undirected,7.0,5,1
97,1248,Emhyr,Ciri,Undirected,2.0,5,1
100,1251,Geralt,Emhyr,Undirected,2.0,5,1
101,1252,Geralt,Roach,Undirected,2.0,5,1
102,1253,Milva,Roach,Undirected,2.5,5,2
103,1254,Dandelion,Zoltan,Undirected,28.0,5,1
104,1255,Milva,Zoltan,Undirected,30.5,5,2
105,1256,Milva,Field,Undirected,3.0,5,2
106,1257,Zoltan,Field,Undirected,6.5,5,2
107,1258,Field,Percival,Undirected,3.0,5,2
109,1260,Percival,Zoltan,Undirected,21.5,5,2
110,1261,Geralt,Zoltan,Undirected,38.5,5,1
112,1263,Zoltan,Munro,Undirected,3.0,5,2
113,1264,Zoltan,Figgis,Undirected,1.0,5,2
114,1265,Munro,Figgis,Undirected,1.0,5,2
117,1268,Figgis,Geralt,Undirected,2.0,5,1
118,1269,Figgis,Dandelion,Undirected,1.5,5,1
122,1273,Figgis,Milva,Undirected,3.0,5,2
123,1274,Milva,Percival,Undirected,7.0,5,2
124,1275,Percival,Geralt,Undirected,11.0,5,1
125,1276,Munro,Geralt,Undirected,2.0,5,1
126,1277,Geralt,Field,Undirected,5.0,5,1
130,1281,Maria,Zoltan,Undirected,1.0,5,2
132,1283,Munro,Percival,Undirected,1.0,5,2
134,1285,Cahir,Zoltan,Undirected,2.0,5,2
135,1286,Zoltan,Ciri,Undirected,3.0,5,1
136,1287,Geralt,Cahir,Undirected,18.0,5,1
137,1288,Philippa,Zoltan,Undirected,1.0,5,1
138,1289,Zoltan,King,Undirected,1.0,5,2
139,1290,King,Percival,Undirected,1.0,5,2
140,1291,Dandelion,Field,Undirected,3.0,5,1
141,1292,Field,Two,Undirected,1.0,5,2
142,1293,Two,Zoltan,Undirected,2.5,5,2
143,1294,Dandelion,Percival,Undirected,9.0,5,1
