,Unnamed: 0,Source,Target,Type,Weight,book,group
0,1938,Arthur,Merlin,Undirected,2.0,7,2
2,1940,Merlin,Sir,Undirected,2.0,7,2
3,1941,Arthur,Sir,Undirected,1.0,7,2
4,1942,Nimue,Dandelion,Undirected,2.0,7,1
6,1944,Dandelion,Two,Undirected,1.5,7,1
7,1945,Nimue,Two,Undirected,1.0,7,2
8,1946,Geralt,Nimue,Undirected,1.0,7,1
9,1947,Yennefer,Nimue,Undirected,2.0,7,1
10,1948,Beau,Ciri,Undirected,3.0,7,1
11,1949,Ciri,Nimue,Undirected,6.5,7,1
13,1951,Ciri,Lydia,Undirected,1.0,7,1
14,1952,Lydia,Nimue,Undirected,1.0,7,2
15,1953,Stella,Count,Undirected,3.0,7,2
16,1954,Stella,Emhyr,Undirected,4.5,7,2
17,1955,Count,Emhyr,Undirected,3.5,7,2
19,1957,Emhyr,Vattier,Undirected,2.0,7,2
22,1960,Emhyr,Beau,Undirected,1.0,7,2
23,1961,Nimue,Emhyr,Undirected,1.5,7,2
25,1963,Nimue,King,Undirected,1.5,7,2
26,1964,Emhyr,King,Undirected,1.0,7,2
27,1965,King,Ciri,Undirected,3.5,7,1
28,1966,Ciri,Emhyr,Undirected,5.0,7,1
29,1967,Dandelion,Jan,Undirected,1.0,7,1
30,1968,Jan,Nimue,Undirected,1.0,7,2
31,1969,Cahir,Count,Undirected,1.0,7,2
32,1970,Cahir,Dandelion,Undirected,3.0,7,1
33,1971,Count,Dandelion,Undirected,2.0,7,1
34,1972,Dandelion,Geralt,Undirected,21.5,7,1
37,1975,Geralt,Count,Undirected,2.0,7,1
39,1977,Margarita,Francesca,Undirected,2.5,7,2
40,1978,Francesca,Ida,Undirected,3.0,7,2
41,1979,Ciri,Vilgefortz,Undirected,13.0,7,1
42,1980,Yennefer,Jan,Undirected,1.0,7,1
43,1981,Jan,Vilgefortz,Undirected,1.0,7,2
45,1983,Vilgefortz,Yennefer,Undirected,19.5,7,1
46,1984,Ciri,Yennefer,Undirected,42.0,7,1
49,1987,Yennefer,Geralt,Undirected,20.0,7,1
50,1988,Geralt,Ciri,Undirected,31.0,7,1
52,1990,Vilgefortz,Emhyr,Undirected,4.5,7,2
53,1991,Emhyr,Stefan,Undirected,2.5,7,2
54,1992,Emhyr,Yennefer,Undirected,2.5,7,1
55,1993,Stefan,Yennefer,Undirected,2.0,7,1
56,1994,Stefan,Vilgefortz,Undirected,2.0,7,2
58,1996,Nimue,Everett,Undirected,1.0,7,2
59,1997,Reynart,Geralt,Undirected,9.0,7,1
60,1998,Reynard,Geralt,Undirected,1.0,7,1
61,1999,Beau,Geralt,Undirected,5.5,7,1
62,2000,Beau,Roach,Undirected,1.0,7,2
63,2001,Geralt,Roach,Undirected,2.0,7,1
64,2002,Sir,Geralt,Undirected,3.0,7,1
65,2003,Sir,Milva,Undirected,1.0,7,2
66,2004,Geralt,Milva,Undirected,11.5,7,1
67,2005,Geralt,Cahir,Undirected,10.5,7,1
68,2006,Milva,Cahir,Undirected,7.0,7,2
70,2008,Cahir,Beau,Undirected,1.5,7,2
71,2009,Milva,Beau,Undirected,1.0,7,2
72,2010,Reynart,Anna,Undirected,1.5,7,2
74,2012,Anna,Dandelion,Undirected,2.0,7,1
75,2013,Anna,Julia,Undirected,1.5,7,2
76,2014,Anna,Sir,Undirected,1.0,7,2
77,2015,Reynart,Dandelion,Undirected,3.0,7,1
78,2016,Reynart,Julia,Undirected,1.0,7,2
79,2017,Reynart,Sir,Undirected,1.0,7,2
80,2018,Dandelion,Julia,Undirected,5.0,7,1
81,2019,Dandelion,Sir,Undirected,1.0,7,1
82,2020,Julia,Sir,Undirected,1.0,7,2
83,2021,Julia,Geralt,Undirected,2.0,7,1
85,2023,Cahir,Reynart,Undirected,2.0,7,2
86,2024,Reynart,Count,Undirected,1.0,7,2
89,2027,Reynart,Two,Undirected,1.0,7,2
90,2028,Geralt,Two,Undirected,2.0,7,1
92,2030,Reynart,Beau,Undirected,3.0,7,2
97,2035,Dandelion,Milva,Undirected,1.5,7,1
99,2037,Beau,Julia,Undirected,2.0,7,2
100,2038,Beau,Dandelion,Undirected,2.5,7,1
102,2040,Anna,Geralt,Undirected,2.0,7,1
104,2042,Beau,Anna,Undirected,1.0,7,2
105,2043,Dandelion,Fringilla,Undirected,3.5,7,1
106,2044,Fringilla,Geralt,Undirected,17.0,7,1
108,2046,Reynart,Milva,Undirected,1.5,7,2
109,2047,Fringilla,Milva,Undirected,3.0,7,2
110,2048,Anna,Ciri,Undirected,1.5,7,1
111,2049,Dandelion,Ciri,Undirected,9.5,7,1
112,2050,Ciri,Pavetta,Undirected,1.5,7,1
114,2052,Emhyr,Geralt,Undirected,3.0,7,1
116,2054,Geralt,Baron,Undirected,2.0,7,1
117,2055,Geralt,Palmerin,Undirected,1.5,7,1
118,2056,Baron,Palmerin,Undirected,1.5,7,2
122,2060,Milva,Ciri,Undirected,1.0,7,1
123,2061,Count,Fringilla,Undirected,1.0,7,2
124,2062,Baron,Anna,Undirected,1.0,7,2
125,2063,Dandelion,Emiel,Undirected,1.0,7,1
126,2064,Emiel,Geralt,Undirected,3.0,7,1
128,2066,Milva,Baron,Undirected,6.5,7,2
129,2067,Fringilla,Baron,Undirected,1.0,7,2
132,2070,Milva,Seven,Undirected,1.0,7,2
133,2071,Baron,Seven,Undirected,1.0,7,2
136,2074,Geralt,Gar,Undirected,1.0,7,1
137,2075,Fringilla,Fulko,Undirected,3.0,7,2
138,2076,Reynart,Roach,Undirected,1.0,7,2
140,2078,Sir,Cahir,Undirected,1.0,7,2
142,2080,Dandelion,Roach,Undirected,2.0,7,1
143,2081,Ciri,Fringilla,Undirected,2.5,7,1
145,2083,Jan,Fringilla,Undirected,1.0,7,2
146,2084,Jan,Geralt,Undirected,2.0,7,1
147,2085,Geralt,King,Undirected,2.5,7,1
148,2086,Roach,Two,Undirected,2.0,7,2
149,2087,Cahir,Baron,Undirected,1.0,7,2
150,2088,Baron,Dandelion,Undirected,1.5,7,1
153,2091,Beau,Fringilla,Undirected,1.0,7,2
154,2092,Fringilla,Philippa,Undirected,7.5,7,1
155,2093,Fringilla,Yennefer,Undirected,3.0,7,1
157,2095,Philippa,Yennefer,Undirected,1.5,7,1
158,2096,Keira,Philippa,Undirected,1.5,7,1
159,2097,Keira,Fringilla,Undirected,2.0,7,2
160,2098,Philippa,Margarita,Undirected,3.0,7,1
161,2099,Philippa,Sabrina,Undirected,4.0,7,1
162,2100,Fringilla,Margarita,Undirected,1.0,7,2
163,2101,Fringilla,Sabrina,Undirected,3.0,7,2
164,2102,Margarita,Sabrina,Undirected,1.5,7,2
165,2103,Sabrina,Ida,Undirected,1.0,7,2
166,2104,Ida,Assire,Undirected,2.0,7,2
168,2106,Fringilla,Triss,Undirected,3.0,7,2
169,2107,Ciri,Triss,Undirected,12.0,7,1
170,2108,Ciri,Philippa,Undirected,5.0,7,1
171,2109,Triss,Philippa,Undirected,3.0,7,1
172,2110,Fringilla,Little,Undirected,1.0,7,2
173,2111,Dandelion,Little,Undirected,1.0,7,1
176,2114,Fringilla,Cahir,Undirected,3.5,7,2
178,2116,Cahir,Ciri,Undirected,5.5,7,1
179,2117,Vilgefortz,Vattier,Undirected,1.0,7,2
180,2118,Vilgefortz,Joachim,Undirected,1.5,7,2
181,2119,Ardal,Emhyr,Undirected,1.5,7,2
182,2120,Stefan,Joachim,Undirected,1.0,7,2
183,2121,Morvran,Count,Undirected,1.0,7,2
185,2123,Ardal,Joachim,Undirected,2.0,7,2
186,2124,Ardal,Stefan,Undirected,1.0,7,2
187,2125,Ardal,Vilgefortz,Undirected,1.0,7,2
190,2128,Joachim,Emhyr,Undirected,3.5,7,2
194,2132,Yennefer,Ardal,Undirected,1.0,7,1
195,2133,Yennefer,Joachim,Undirected,1.0,7,1
196,2134,Ardal,Count,Undirected,1.0,7,2
197,2135,Joachim,Count,Undirected,1.0,7,2
198,2136,Count,Vilgefortz,Undirected,1.0,7,2
200,2138,Fringilla,Vilgefortz,Undirected,5.0,7,2
202,2140,Vilgefortz,Geralt,Undirected,18.0,7,1
203,2141,Vilgefortz,Philippa,Undirected,2.5,7,1
207,2145,Vilgefortz,Keira,Undirected,1.0,7,2
208,2146,Vilgefortz,Sabrina,Undirected,1.0,7,2
209,2147,Keira,Sabrina,Undirected,1.5,7,2
211,2149,Fringilla,Assire,Undirected,2.5,7,2
212,2150,Guy,Geralt,Undirected,1.0,7,1
213,2151,Guy,Reynart,Undirected,1.0,7,2
215,2153,Philippa,Francesca,Undirected,3.0,7,1
216,2154,Philippa,Ida,Undirected,1.0,7,1
221,2159,Margarita,Triss,Undirected,1.5,7,2
222,2160,Fringilla,Francesca,Undirected,1.0,7,2
223,2161,Triss,Francesca,Undirected,1.0,7,2
224,2162,Triss,Assire,Undirected,1.0,7,2
225,2163,Francesca,Assire,Undirected,1.5,7,2
227,2165,Assire,Philippa,Undirected,2.5,7,1
229,2167,Assire,Sabrina,Undirected,2.0,7,2
230,2168,Ciri,Kelpie,Undirected,30.5,7,1
232,2170,Kelpie,Vesemir,Undirected,1.0,7,1
233,2171,Vesemir,Ciri,Undirected,1.0,7,1
234,2172,Eredin,Ciri,Undirected,14.5,7,1
236,2174,Ciri,Aen,Undirected,8.0,7,1
237,2175,Aen,Eredin,Undirected,2.0,7,2
238,2176,Ciri,Auberon,Undirected,7.5,7,1
239,2177,Auberon,Aen,Undirected,2.0,7,2
240,2178,Auberon,King,Undirected,3.0,7,2
242,2180,Aen,King,Undirected,1.0,7,2
243,2181,Auberon,Eredin,Undirected,2.5,7,2
246,2184,Ciri,Gar,Undirected,1.0,7,1
247,2185,Eredin,Gar,Undirected,1.0,7,2
251,2189,Auberon,Geralt,Undirected,2.0,7,1
253,2191,Vysogota,Ciri,Undirected,2.0,7,1
254,2192,Vysogota,Yennefer,Undirected,1.0,7,1
256,2194,Vysogota,Geralt,Undirected,2.0,7,1
257,2195,Kelpie,Aen,Undirected,1.0,7,2
258,2196,Kelpie,Eredin,Undirected,2.0,7,2
261,2199,Anna,Eredin,Undirected,1.0,7,2
262,2200,King,Kayleigh,Undirected,1.0,7,2
264,2202,Kayleigh,Ciri,Undirected,1.0,7,1
265,2203,Eredin,Vysogota,Undirected,1.0,7,2
266,2204,Ciri,Little,Undirected,2.5,7,1
267,2205,Ciri,Ihuarraquax,Undirected,2.5,7,1
268,2206,Little,Ihuarraquax,Undirected,1.0,7,2
272,2210,Gar,Little,Undirected,1.0,7,2
273,2211,Kelpie,Little,Undirected,2.0,7,2
274,2212,Ihuarraquax,Kelpie,Undirected,1.0,7,2
275,2213,Kelpie,Seven,Undirected,1.0,7,2
276,2214,Little,Seven,Undirected,1.0,7,2
278,2216,Seven,Ciri,Undirected,1.0,7,1
279,2217,King,Menno,Undirected,1.0,7,2
280,2218,Jarre,Milton,Undirected,2.0,7,2
282,2220,Jarre,Jan,Undirected,1.0,7,2
284,2222,Jarre,Sir,Undirected,1.0,7,2
286,2224,Jarre,Two,Undirected,2.5,7,2
288,2226,Jarre,Geralt,Undirected,1.0,7,1
289,2227,Jarre,Nenneke,Undirected,3.0,7,2
290,2228,Jarre,Ciri,Undirected,3.5,7,1
291,2229,Geralt,Nenneke,Undirected,1.0,7,1
292,2230,Geralt,Triss,Undirected,1.0,7,1
293,2231,Nenneke,Ciri,Undirected,1.0,7,1
294,2232,Nenneke,Triss,Undirected,6.5,7,2
295,2233,Jarre,King,Undirected,1.0,7,2
296,2234,Adam,Julia,Undirected,3.0,7,2
297,2235,Jarre,Dennis,Undirected,4.5,7,2
299,2237,Dennis,Nenneke,Undirected,2.0,7,2
302,2240,Sheldon,Jarre,Undirected,1.0,7,2
304,2242,Sheldon,Zoltan,Undirected,1.0,7,2
305,2243,Sheldon,Menno,Undirected,1.0,7,2
306,2244,Zoltan,Menno,Undirected,1.0,7,2
307,2245,Zoltan,Jarre,Undirected,2.0,7,2
308,2246,Menno,Jarre,Undirected,1.0,7,2
309,2247,Zoltan,Dennis,Undirected,1.5,7,2
310,2248,Zoltan,Vissegerd,Undirected,1.0,7,2
311,2249,Zoltan,Julia,Undirected,1.0,7,2
312,2250,Dennis,Vissegerd,Undirected,1.0,7,2
313,2251,Dennis,Julia,Undirected,1.0,7,2
314,2252,Vissegerd,Julia,Undirected,1.0,7,2
317,2255,Julia,Yarpen,Undirected,1.0,7,2
318,2256,Dennis,Yarpen,Undirected,1.0,7,2
319,2257,Dennis,Emhyr,Undirected,1.0,7,2
320,2258,Yarpen,Emhyr,Undirected,1.0,7,2
321,2259,Emhyr,Zoltan,Undirected,1.0,7,2
324,2262,Dennis,Ciri,Undirected,1.0,7,1
327,2265,Kelpie,Two,Undirected,1.0,7,2
329,2267,Two,Ciri,Undirected,3.0,7,1
331,2269,Fabio,Yennefer,Undirected,1.0,7,1
333,2271,Geralt,Kelpie,Undirected,2.0,7,1
335,2273,Nimue,Ithlinne,Undirected,1.5,7,2
339,2277,Jarre,Anna,Undirected,1.0,7,2
340,2278,Puttkammer,Baron,Undirected,1.0,7,2
341,2279,Puttkammer,Field,Undirected,1.0,7,2
343,2281,Puttkammer,Seven,Undirected,1.0,7,2
345,2283,Bronibor,Adam,Undirected,1.0,7,2
346,2284,Bronibor,Barclay,Undirected,1.0,7,2
347,2285,Adam,Barclay,Undirected,1.0,7,2
348,2286,Jarre,Field,Undirected,2.0,7,2
350,2288,Field,Menno,Undirected,2.5,7,2
352,2290,Field,Ramon,Undirected,1.0,7,2
353,2291,Iola,Marti,Undirected,4.5,7,2
355,2293,King,Sword,Undirected,1.0,7,2
356,2294,King,Assire,Undirected,1.0,7,2
357,2295,King,Philippa,Undirected,2.5,7,1
358,2296,Iola,Shani,Undirected,3.5,7,1
359,2297,Shani,Marti,Undirected,2.0,7,1
360,2298,Adam,Jarre,Undirected,1.0,7,2
361,2299,Aubry,Julia,Undirected,1.0,7,2
362,2300,Barclay,Aubry,Undirected,2.5,7,2
363,2301,Aubry,Foltest,Undirected,1.5,7,1
366,2304,Two,Barclay,Undirected,1.0,7,2
368,2306,Julia,Marti,Undirected,1.0,7,2
371,2309,Menno,Isengrim,Undirected,1.5,7,2
373,2311,Menno,Iola,Undirected,1.0,7,2
375,2313,Jarre,Triss,Undirected,1.0,7,2
376,2314,Count,Gar,Undirected,1.0,7,2
377,2315,Marti,Daniel,Undirected,1.0,7,2
378,2316,Marti,Count,Undirected,1.0,7,2
379,2317,Daniel,Count,Undirected,1.0,7,2
380,2318,Count,Shani,Undirected,1.0,7,1
381,2319,Adam,Foltest,Undirected,1.0,7,1
383,2321,Julia,Foltest,Undirected,1.0,7,1
384,2322,Julia,Bronibor,Undirected,1.0,7,2
385,2323,Foltest,Bronibor,Undirected,1.0,7,1
386,2324,Iola,Yaevinn,Undirected,1.0,7,2
387,2325,Kobus,Count,Undirected,1.0,7,2
388,2326,Puttkammer,Menno,Undirected,1.0,7,2
390,2328,Sir,Seven,Undirected,1.0,7,2
391,2329,Elan,Seven,Undirected,1.0,7,2
392,2330,Jarre,Bronibor,Undirected,3.0,7,2
394,2332,Bronibor,Seven,Undirected,1.0,7,2
395,2333,Field,Bronibor,Undirected,1.0,7,2
396,2334,Menno,Sievers,Undirected,1.0,7,2
397,2335,Sievers,Seven,Undirected,1.0,7,2
398,2336,Sievers,Field,Undirected,1.0,7,2
399,2337,Zoltan,Munro,Undirected,1.0,7,2
400,2338,Zoltan,Guy,Undirected,1.0,7,2
401,2339,Munro,Guy,Undirected,1.0,7,2
402,2340,Munro,Field,Undirected,1.0,7,2
403,2341,Guy,Field,Undirected,1.0,7,2
404,2342,Jarre,Iola,Undirected,1.0,7,2
405,2343,Iola,Bronibor,Undirected,1.0,7,2
407,2345,King,Meve,Undirected,2.0,7,2
408,2346,King,Ardal,Undirected,1.0,7,2
409,2347,Meve,Ardal,Undirected,1.0,7,2
410,2348,Ciri,Marti,Undirected,1.0,7,1
411,2349,Milo,Marti,Undirected,1.0,7,2
412,2350,Ciri,Stefan,Undirected,1.0,7,1
413,2351,Vilgefortz,Aen,Undirected,2.0,7,2
414,2352,Milva,Maria,Undirected,2.0,7,2
415,2353,Geralt,Maria,Undirected,1.0,7,1
416,2354,Ciri,Emiel,Undirected,1.5,7,1
419,2357,Yennefer,Emiel,Undirected,1.0,7,1
420,2358,Vilgefortz,Emiel,Undirected,1.0,7,2
422,2360,Count,Stefan,Undirected,1.0,7,2
423,2361,Leo,Vilgefortz,Undirected,1.0,7,2
425,2363,Cahir,Two,Undirected,1.0,7,2
426,2364,Cahir,Aillil,Undirected,1.0,7,2
428,2366,Count,Ciri,Undirected,1.5,7,1
429,2367,Ciri,Leo,Undirected,1.0,7,1
430,2368,Leo,Yennefer,Undirected,1.0,7,1
433,2371,Geralt,Pavetta,Undirected,2.0,7,1
435,2373,Emhyr,Pavetta,Undirected,2.0,7,2
436,2374,Vilgefortz,Pavetta,Undirected,1.0,7,2
438,2376,Emhyr,Duke,Undirected,1.0,7,2
440,2378,Emhyr,Xarthisius,Undirected,1.0,7,2
441,2379,Xarthisius,Vilgefortz,Undirected,1.0,7,2
442,2380,Vilgefortz,Braathens,Undirected,1.0,7,2
445,2383,Emhyr,Calanthe,Undirected,1.0,7,2
446,2384,Geralt,Calanthe,Undirected,1.0,7,1
447,2385,Calanthe,Vilgefortz,Undirected,1.0,7,2
448,2386,Calanthe,Ciri,Undirected,1.0,7,1
450,2388,Francesca,Geralt,Undirected,1.0,7,1
452,2390,Pavetta,Calanthe,Undirected,1.0,7,2
