,Unnamed: 0,Source,Target,Type,Weight,book,group
0,724,Aplegatt,King,Undirected,1.5,4,2
2,726,Aplegatt,Meve,Undirected,1.0,4,2
3,727,Aplegatt,Demavend,Undirected,2.0,4,2
4,728,Aplegatt,Emhyr,Undirected,1.0,4,2
5,729,Meve,Demavend,Undirected,1.0,4,2
6,730,Meve,Emhyr,Undirected,1.0,4,2
7,731,Demavend,Emhyr,Undirected,1.0,4,2
8,732,Emhyr,Vissegerd,Undirected,1.0,4,2
9,733,Vissegerd,Forest,Undirected,1.0,4,2
10,734,Aplegatt,Ciri,Undirected,2.0,4,1
12,736,Aplegatt,Yennefer,Undirected,1.0,4,1
13,737,Ciri,Yennefer,Undirected,28.5,4,1
15,739,Aplegatt,Foltest,Undirected,1.0,4,1
16,740,Foltest,Demavend,Undirected,2.0,4,1
17,741,Codringher,Geralt,Undirected,10.5,4,1
19,743,Codringher,Dandelion,Undirected,3.0,4,1
20,744,Rience,Calanthe,Undirected,1.0,4,2
21,745,Rience,Codringher,Undirected,9.0,4,2
23,747,Rience,Geralt,Undirected,5.0,4,1
25,749,Rience,Yennefer,Undirected,2.0,4,1
26,750,Yennefer,Codringher,Undirected,2.0,4,1
28,752,Codringher,Emhyr,Undirected,1.0,4,2
29,753,Codringher,Philippa,Undirected,1.0,4,1
30,754,Emhyr,Philippa,Undirected,2.0,4,1
31,755,Emhyr,Sabrina,Undirected,1.0,4,2
32,756,Emhyr,Henselt,Undirected,1.5,4,2
33,757,Philippa,Sabrina,Undirected,2.5,4,1
34,758,Philippa,Henselt,Undirected,1.0,4,1
35,759,Sabrina,Henselt,Undirected,2.0,4,2
36,760,Sabrina,Rience,Undirected,1.0,4,2
37,761,Henselt,Rience,Undirected,1.0,4,2
38,762,Codringher,Foltest,Undirected,1.0,4,1
39,763,Codringher,Ciri,Undirected,1.5,4,1
40,764,Foltest,Ciri,Undirected,1.0,4,1
43,767,Ciri,Geralt,Undirected,8.0,4,1
44,768,Rience,King,Undirected,1.0,4,2
45,769,Codringher,King,Undirected,1.0,4,2
46,770,Codringher,Calanthe,Undirected,2.0,4,2
47,771,King,Calanthe,Undirected,1.0,4,2
48,772,Geralt,King,Undirected,1.0,4,1
50,774,Calanthe,Roegner,Undirected,3.0,4,2
51,775,Roegner,Pavetta,Undirected,4.0,4,2
52,776,Pavetta,Geralt,Undirected,1.5,4,1
53,777,Geralt,Roegner,Undirected,2.0,4,1
54,778,Codringher,Roegner,Undirected,1.0,4,2
56,780,Roegner,Ciri,Undirected,1.0,4,1
57,781,Ciri,Calanthe,Undirected,1.0,4,1
58,782,Geralt,Calanthe,Undirected,1.0,4,1
60,784,Calanthe,Pavetta,Undirected,4.0,4,2
62,786,Pavetta,Eist,Undirected,1.0,4,2
63,787,Eist,Calanthe,Undirected,1.0,4,2
65,789,Pavetta,Codringher,Undirected,1.0,4,2
66,790,Emhyr,King,Undirected,1.0,4,2
67,791,Akerspaark,Emhyr,Undirected,1.0,4,2
68,792,Akerspaark,Horm,Undirected,1.0,4,2
69,793,Horm,Codringher,Undirected,1.0,4,2
71,795,Codringher,Akerspaark,Undirected,1.0,4,2
72,796,Akerspaark,Geralt,Undirected,1.0,4,1
75,799,Akerspaark,Pavetta,Undirected,1.0,4,2
76,800,Akerspaark,Ciri,Undirected,1.0,4,1
77,801,Pavetta,Ciri,Undirected,1.0,4,1
78,802,Ithlinne,Aen,Undirected,1.0,4,2
79,803,Ithlinne,Codringher,Undirected,1.0,4,2
80,804,Ithlinne,Geralt,Undirected,1.0,4,1
81,805,Aen,Codringher,Undirected,1.0,4,2
82,806,Aen,Geralt,Undirected,1.0,4,1
83,807,Yennefer,Gar,Undirected,2.5,4,1
84,808,Geralt,Yennefer,Undirected,21.0,4,1
85,809,Little,Aplegatt,Undirected,1.0,4,2
87,811,Aplegatt,Gar,Undirected,1.0,4,2
88,812,Gar,Toruviel,Undirected,1.0,4,2
89,813,Gar,Yaevinn,Undirected,1.0,4,2
90,814,Toruviel,Yaevinn,Undirected,1.5,4,2
92,816,Toruviel,Aplegatt,Undirected,1.0,4,2
93,817,Dandelion,Two,Undirected,1.0,4,1
95,819,Ciri,Yarpen,Undirected,3.0,4,1
96,820,Yarpen,Yennefer,Undirected,2.0,4,1
97,821,Yennefer,Jarre,Undirected,1.0,4,1
98,822,Ciri,Jarre,Undirected,3.0,4,1
99,823,Jarre,Molnar,Undirected,1.0,4,2
100,824,Molnar,Ciri,Undirected,4.5,4,1
102,826,Molnar,Yennefer,Undirected,3.5,4,1
104,828,Yennefer,Emhyr,Undirected,1.0,4,1
105,829,Foltest,Molnar,Undirected,1.0,4,1
106,830,Yennefer,Fifteen,Undirected,1.0,4,1
107,831,Molnar,Little,Undirected,1.0,4,2
108,832,Little,Yennefer,Undirected,1.0,4,1
110,834,Fabio,Ciri,Undirected,19.5,4,1
112,836,Fabio,Yennefer,Undirected,2.0,4,1
113,837,Fabio,Molnar,Undirected,1.0,4,2
